"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","573.150","0.0000"
"2.300","2.317","1.000","-0.001","580.206","0.0000"
"3.400","3.417","1.000","0.000","590.431","0.0000"
"4.400","4.417","1.000","-113.634","581.242","0.0000"
"5.400","5.417","1.000","-22.308","590.573","0.0000"
"6.400","6.417","1.000","-75.959","576.893","0.0000"
"7.400","7.417","1.000","-71.497","564.937","0.0000"
"8.400","8.417","1.000","-37.414","560.262","0.0000"
"9.500","9.517","1.000","-85.877","627.016","0.0300"
"10.600","10.617","0.000","-4.891","564.146","0.0000"
"11.700","11.717","1.000","-50.112","594.826","0.0300"
"12.800","12.817","1.000","-130.143","605.335","0.0300"
"13.900","13.917","1.000","-179.186","592.120","0.0300"
"15.000","15.017","1.000","-109.327","552.513","0.0300"
"16.100","16.117","1.000","-232.967","594.636","0.0300"
"17.200","17.217","1.000","-168.630","531.978","0.0300"
"18.300","18.317","1.000","-345.274","589.484","0.0300"
"19.400","19.417","0.541","-176.709","521.493","0.0178"
"20.500","20.517","0.498","-190.121","505.066","0.0144"
"21.600","21.617","1.000","-64.420","621.693","0.0300"
"22.700","22.717","1.000","-82.454","617.640","0.0300"
"23.800","23.817","1.000","-58.361","619.711","0.0300"
"24.900","24.917","0.748","-33.875","462.888","0.0248"
"26.000","26.017","0.739","-99.215","466.823","0.0000"
"27.100","27.117","1.000","-46.415","497.517","0.0000"
"28.200","28.217","1.000","-70.289","489.468","0.0000"
"29.300","29.317","1.000","-99.193","512.225","0.0000"
"30.400","30.417","1.000","-60.229","521.095","0.0000"
"31.500","31.517","1.000","-80.608","494.419","0.0000"
"32.600","32.617","1.000","-67.146","469.916","0.0000"
"33.700","33.717","1.000","-97.996","493.243","0.0000"
"34.800","34.817","1.000","-93.889","488.070","0.0000"
"35.900","35.917","1.000","-85.526","435.477","0.0000"
"37.000","37.017","1.000","-78.025","481.054","0.0000"
