"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0146","0.0087","0.0000","0.0000","1.5713","29.70","0"
"BucketWheel","2.30","-14.00","-0.001","-0.000","0.005","0.0074","0.0001","0.0000","0.0000","1.5799","28.05","0"
"BucketWheel","3.40","-14.00","-0.000","-0.000","-0.000","0.0022","0.0033","0.0000","0.0000","1.5767","26.40","0"
"BucketWheel","4.40","-14.00","-113.634","0.008","6.771","0.0068","0.0012","0.0000","0.0000","1.5788","24.90","0"
"BucketWheel","5.40","-14.00","-22.308","-0.001","13.807","0.0020","0.0014","0.0000","-0.0000","1.5786","23.40","0"
"BucketWheel","6.40","-14.00","-75.959","0.025","-44.580","0.0478","0.0023","0.0005","-0.0005","1.5823","21.99","0"
"BucketWheel","7.40","-14.00","-71.497","0.008","-146.316","0.0024","0.0007","0.0005","-0.0005","1.5805","20.49","0"
"BucketWheel","8.40","-14.00","-37.414","-0.098","9.583","0.0011","0.0018","0.0005","-0.0005","1.5783","20.17","0"
"BucketWheel","9.50","-14.00","-85.877","0.035","-92.795","0.0264","0.0075","0.0070","0.0070","1.5773","20.22","0"
"BucketWheel","10.60","-14.00","-4.834","3.988","-16.344","0.3095","0.0583","0.0114","-0.0109","1.6371","20.45","0"
"BucketWheel","11.70","-14.00","-50.152","-5.720","2.624","0.0104","0.1507","0.1495","-0.1466","1.5609","24.48","0"
"BucketWheel","12.80","-14.00","-130.135","-9.160","-46.599","0.0266","0.1313","0.1299","-0.1265","1.5607","22.83","0"
"BucketWheel","13.90","-14.00","-179.191","-14.529","58.437","0.0228","0.1077","0.1070","-0.1028","1.5681","21.18","0"
"BucketWheel","15.00","-14.00","-109.327","-5.274","-26.865","0.0279","0.0839","0.0839","-0.0785","1.5792","19.78","0"
"BucketWheel","16.10","-14.00","-232.969","-13.356","-16.035","0.0222","0.0618","0.0618","-0.0543","1.5805","19.18","0"
"BucketWheel","17.20","-14.00","-168.631","-10.127","-64.268","0.0221","0.0422","0.0421","-0.0300","1.5772","19.31","0"
"BucketWheel","18.30","-14.00","-345.136","-44.502","-37.047","0.0490","0.0325","0.0304","-0.0071","1.5684","19.09","0"
"BucketWheel","19.40","-14.00","-176.706","-20.077","-34.120","0.0139","0.0333","0.0328","0.0141","1.5742","19.23","0"
"BucketWheel","20.50","-14.00","-190.120","-15.735","-128.664","0.0144","0.0338","0.0337","0.0159","1.5770","18.94","0"
"BucketWheel","21.60","-14.00","-64.391","-18.157","-25.091","0.0221","0.0470","0.0459","0.0350","1.5699","19.41","0"
"BucketWheel","22.70","-14.00","-81.412","-35.206","-62.230","0.0225","0.0666","0.0663","0.0593","1.5736","18.31","0"
"BucketWheel","23.80","-14.00","-58.349","-11.339","-12.383","0.0278","0.0884","0.0884","0.0832","1.5795","18.09","0"
"BucketWheel","24.90","-14.00","-33.865","-21.954","-11.768","0.0233","0.1115","0.1115","0.1075","1.5785","18.18","0"
"BucketWheel","26.00","-14.00","-99.205","-22.187","2.942","0.0089","0.1113","0.1113","0.1072","1.5767","18.37","0"
"BucketWheel","27.10","-14.00","-46.393","-36.945","-9.927","0.0164","0.1115","0.1113","0.1072","1.5737","18.43","0"
"BucketWheel","28.20","-14.00","-70.278","-24.292","14.018","0.0031","0.1113","0.1113","0.1072","1.5792","17.97","0"
"BucketWheel","29.30","-14.00","-99.184","-18.148","-68.198","0.0040","0.1113","0.1113","0.1072","1.5785","18.03","0"
"BucketWheel","30.40","-14.00","-60.220","-19.388","-3.287","0.0165","0.1114","0.1113","0.1072","1.5760","18.28","0"
"BucketWheel","31.50","-14.00","-80.606","-3.865","18.715","0.0005","0.1113","0.1113","0.1072","1.5774","18.14","0"
"BucketWheel","32.60","-14.00","-67.143","-6.879","-11.859","0.0059","0.1113","0.1113","0.1072","1.5786","18.02","0"
"BucketWheel","33.70","-14.00","-97.990","-11.679","-4.606","0.0103","0.1113","0.1113","0.1072","1.5783","18.05","0"
"BucketWheel","34.80","-14.00","-93.890","2.220","13.961","0.0042","0.1114","0.1113","0.1072","1.5744","18.44","0"
"BucketWheel","35.90","-14.00","-85.525","0.255","-20.459","0.0062","0.1115","0.1113","0.1072","1.5732","18.56","0"
"BucketWheel","37.00","-14.00","-78.018","-1.788","-1.483","0.0036","0.1118","0.1113","0.1072","1.5689","18.60","0"
