"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","2.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","4.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","14.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","18.000000","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","18.800000","22.000000","3.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","23.600000","26.800000","6.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","26.800000","29.600000","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","24.600000","31.400000","11.600000","2.400000","2.400000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","3.800000","33.000000","12.800000","4.000000","5.800000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","8.400000","35.000001","12.800000","3.200000","5.800000","0.400000","0.000000","0.400000","0.000000","0"
"12.80","15.200000","41.200001","13.800000","1.200000","5.800000","2.000000","0.000000","2.000000","0.800000","0"
"13.90","14.400000","42.400001","16.000000","0.400000","6.200000","3.800000","0.000000","4.000000","2.800000","0"
"15.00","15.800000","46.400001","16.200000","3.000000","8.800000","4.000000","0.000000","4.000000","4.000000","0"
"16.10","17.000000","47.200001","16.800000","2.800000","8.800000","4.000000","0.000000","4.000000","4.000000","0"
"17.20","18.400000","48.000001","18.600000","1.600000","8.800000","4.400000","0.000000","4.400000","4.400000","0"
"18.30","18.400000","48.200001","21.000000","0.800000","9.600000","7.000000","0.000000","7.000000","5.800000","0"
"19.40","19.200000","48.400001","22.000000","1.000000","9.800000","7.000000","0.000000","7.000000","7.000000","0"
"20.50","17.600000","48.600001","25.000000","1.400000","10.200000","7.000000","0.000000","7.000000","7.000000","0"
"21.60","16.800000","49.000001","32.400000","0.600000","10.200000","7.400000","0.000000","7.800000","7.000000","0"
"22.70","15.600000","53.800001","32.600000","2.400000","11.400000","8.000000","0.000000","8.000000","7.800000","0"
"23.80","13.200000","55.000001","33.400000","4.800000","14.200000","8.200000","0.000000","8.200000","8.000000","0"
"24.90","15.000000","59.400001","33.600001","4.800000","14.200000","8.400000","0.000000","8.400000","8.400000","0"
"26.00","14.400000","59.600001","34.200001","2.800000","14.200000","9.800000","0.000000","10.200000","8.400000","0"
"27.10","14.000000","60.000001","35.000001","0.600000","14.200000","12.600000","0.000000","12.600000","10.400000","0"
"28.20","13.200000","60.200001","36.200001","0.200000","14.400000","13.200000","0.000000","13.200000","13.200000","0"
"29.30","13.000000","60.200001","37.200001","1.000000","15.200000","13.200000","0.000000","13.200000","13.200000","0"
"30.40","11.000000","60.200001","38.600001","1.000000","15.200000","13.200000","0.000000","13.200000","13.200000","0"
"31.50","10.400000","60.200001","38.600001","0.800000","15.600000","13.200000","0.000000","13.200000","13.200000","0"
"32.60","12.000000","60.800001","39.600001","0.400000","15.600000","14.200000","0.000000","14.200000","13.800000","0"
"33.70","12.400000","61.200001","39.800001","0.400000","15.600000","14.200000","0.000000","14.200000","14.200000","0"
"34.80","12.200000","61.800001","39.800001","0.000000","15.600000","14.400000","0.000000","14.400000","14.400000","0"
"35.90","12.200000","62.600001","40.400001","0.000000","15.600000","14.600000","0.000000","14.600000","14.600000","0"
"37.00","11.200000","62.800001","40.600001","0.000000","15.600000","14.600000","0.000000","14.600000","14.600000","0"
