"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"3.40","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","79.69","0.300","0.00","28.76","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"5.40","78.98","0.300","0.00","5.53","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"6.40","77.07","0.300","0.00","20.30","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"7.40","77.98","0.300","0.00","38.95","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000"
"8.40","77.73","0.300","0.00","12.42","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.091"
"9.50","77.30","0.291","8.32","32.06","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.224"
"10.60","79.61","0.276","23.45","3.96","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.109"
"11.70","78.76","0.258","39.53","14.14","60000.000894","0.000000000","5195.600077","0.400000","0","0","0.000000","0.014"
"12.80","77.08","0.294","2.08","36.24","60000.000894","0.000000000","5399.600080","2.000000","0","0","0.000000","0.035"
"13.90","78.08","0.298","9.11","49.80","60000.000894","0.000000000","5702.600085","3.800000","0","0","0.000000","0.150"
"15.00","78.45","0.291","8.57","28.52","60000.000894","0.000000000","6004.000089","4.000000","0","0","0.000000","0.000"
"16.10","77.24","0.261","46.56","59.12","60000.000894","0.000000000","6304.000094","4.000000","0","0","0.000000","0.289"
"17.20","77.30","0.276","23.00","47.04","60000.000894","0.000000000","6604.200098","4.400000","0","0","0.000000","0.277"
"18.30","76.67","0.286","21.49","87.72","60000.000894","0.000000000","6907.000103","7.000000","0","0","0.000000","1.793"
"19.40","77.16","0.280","2.75","47.94","60000.000894","0.000000000","7047.000105","7.000000","0","0","0.000000","0.000"
"20.50","76.30","0.294","5.40","65.77","60000.000894","0.000000000","7047.000105","7.000000","0","0","0.000000","0.625"
"21.60","76.67","0.268","33.29","38.74","60000.000894","0.000000000","7367.400110","7.400000","0","0","0.000000","0.882"
"22.70","78.33","0.255","104.27","40.24","60000.000894","0.000000000","7875.200117","8.000000","0","0","0.000000","1.083"
"23.80","78.25","0.269","32.45","25.44","60000.000894","0.000000000","7968.200119","8.200000","0","0","0.000000","0.000"
"24.90","78.87","0.284","18.45","11.32","60000.000894","0.000000000","8248.200123","8.400000","0","0","0.000000","0.217"
"26.00","78.62","0.287","12.71","26.86","60000.000894","0.000000000","8249.600123","9.800000","0","0","0.000000","0.062"
"27.10","78.48","0.284","-41.82","22.13","60000.000894","0.000000000","8252.400123","12.600000","0","0","0.000000","0.014"
"28.20","79.00","0.291","8.06","19.67","60000.000894","0.000000000","8253.000123","13.200000","0","0","0.000000","0.028"
"29.30","78.51","0.291","9.20","35.52","60000.000894","0.000000000","8253.000123","13.200000","0","0","0.000000","0.000"
"30.40","78.37","0.282","10.69","22.95","60000.000894","0.000000000","8252.600123","13.200000","0","0","0.000000","0.000"
"31.50","79.09","0.278","21.99","17.85","60000.000894","0.000000000","8252.600123","13.200000","0","0","0.000000","0.143"
"32.60","78.80","0.292","8.33","19.60","60000.000894","0.000000000","8253.600123","14.200000","0","0","0.000000","0.035"
"33.70","78.60","0.287","6.66","29.48","60000.000894","0.000000000","8253.600123","14.200000","0","0","0.000000","0.133"
"34.80","78.83","0.290","9.31","22.45","60000.000894","0.000000000","8253.800123","14.400000","0","0","0.000000","0.005"
"35.90","78.60","0.294","5.59","26.93","60000.000894","0.000000000","8253.200123","14.600000","0","0","0.000000","0.043"
"37.00","78.82","0.288","6.58","20.85","60000.000894","0.000000000","8304.600124","14.600000","0","0","0.000000","0.000"
