"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","0.0000","1.7053","1.7939","-0.0150"
"2.300","1","0.000","0","0.0000","1.7053","1.7859","-0.0150"
"3.400","1","0.000","0","0.0000","1.7053","1.7662","-0.0150"
"4.400","1","0.021","0","0.0000","1.7053","1.7533","-0.0150"
"5.400","1","0.146","0","0.0000","1.7053","1.7381","-0.0150"
"6.400","1","0.349","0","0.0000","1.7053","1.7277","-0.0150"
"7.400","1","0.281","0","0.0000","1.7053","1.7109","-0.0150"
"8.400","1","0.155","0","0.0000","1.7053","1.7052","0.0011"
"9.500","1","0.110","0","0.0075","1.7046","1.7050","-0.0150"
"10.600","1","0.091","1","0.0000","1.7053","1.7687","0.0400"
"11.700","1","0.162","0","0.0000","1.7053","1.7406","-0.0150"
"12.800","1","0.397","0","0.0201","1.7036","1.7147","-0.0150"
"13.900","1","0.242","0","0.0438","1.7016","1.7054","-0.0150"
"15.000","1","0.217","0","0.0681","1.6996","1.7026","-0.0150"
"16.100","1","0.323","0","0.0924","1.6976","1.6976","-0.0038"
"17.200","1","0.560","0","0.1167","1.6955","1.6956","-0.0034"
"18.300","1","0.368","0","0.1395","1.6936","1.6872","0.0150"
"19.400","1","0.738","0","0.1606","1.6919","1.6921","-0.0150"
"20.500","1","0.751","0","0.1625","1.6917","1.6919","-0.0112"
"21.600","1","0.276","0","0.1816","1.6901","1.6901","0.0045"
"22.700","1","0.156","0","0.2060","1.6881","1.6941","-0.0150"
"23.800","1","0.279","0","0.2300","1.6861","1.6864","-0.0150"
"24.900","1","0.675","0","0.2543","1.6841","1.6859","-0.0150"
"26.000","1","0.678","0","0.2540","1.6841","1.6859","-0.0150"
"27.100","1","0.468","0","0.2540","1.6841","1.6833","0.0150"
"28.200","1","0.430","0","0.2540","1.6841","1.6842","-0.0031"
"29.300","1","0.397","0","0.2540","1.6841","1.6842","-0.0040"
"30.400","1","0.392","0","0.2540","1.6841","1.6838","0.0150"
"31.500","1","0.353","0","0.2540","1.6841","1.6841","-0.0005"
"32.600","1","0.331","0","0.2540","1.6841","1.6842","-0.0059"
"33.700","1","0.361","0","0.2540","1.6841","1.6839","0.0103"
"34.800","1","0.348","0","0.2540","1.6841","1.6842","-0.0042"
"35.900","1","0.404","0","0.2540","1.6841","1.6840","0.0044"
"37.000","1","0.380","0","0.2540","1.6841","1.6836","0.0150"
