"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-44.400","0.045","26.131","-44.400","0.045","26.131","-1"
"-109.273","0.132","20.972","-109.273","0.132","20.972","-1"
"-111.342","-0.632","-70.864","-111.342","-0.632","-70.864","-1"
"58.096","-6.695","-292.324","58.096","-6.695","-292.324","-1"
"-58.740","4.667","-97.375","-58.740","4.667","-97.375","-1"
"-16.954","-11.230","-85.634","-16.954","-11.230","-85.634","-1"
"-68.839","47.778","10.468","-68.839","47.778","10.468","-1"
"-99.330","2.697","-89.079","-99.330","2.697","-89.079","-1"
"-285.498","30.428","144.242","-285.498","30.428","144.242","-1"
"-184.626","39.619","-198.274","-184.626","39.619","-198.274","-1"
"-128.764","34.075","-185.955","-128.764","34.075","-185.955","-1"
"-555.709","78.952","-4.706","-555.709","78.952","-4.706","-1"
"-411.685","39.469","57.227","-411.685","39.469","57.227","-1"
"-41.155","37.170","-113.431","-41.155","37.170","-113.431","-1"
"-88.006","20.642","-193.429","-88.006","20.642","-193.429","-1"
"-97.611","43.634","-213.901","-97.611","43.634","-213.901","-1"
"-198.639","33.036","70.918","-198.639","33.036","70.918","-1"
"26.234","41.943","-314.775","26.234","41.943","-314.775","-1"
"-335.578","8.035","215.912","-335.578","8.035","215.912","-1"
"-118.704","-5.429","-29.033","-118.704","-5.429","-29.033","-1"
"-217.722","-19.670","103.670","-217.722","-19.670","103.670","-1"
"-123.500","40.908","-140.879","-123.500","40.908","-140.879","-1"
"-89.444","-15.875","152.721","-89.444","-15.875","152.721","-1"
"-250.048","-34.367","3.888","-250.048","-34.367","3.888","-1"
"-280.889","-12.081","-241.725","-280.889","-12.081","-241.725","-1"
"-272.231","-8.595","-176.530","-272.231","-8.595","-176.530","-1"
"-156.412","-49.914","-264.372","-156.412","-49.914","-264.372","-1"
"-93.152","47.791","-385.140","-93.152","47.791","-385.140","-1"
"-12.469","-50.046","-288.473","-12.469","-50.046","-288.473","-1"
