"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","588.000","0.0000"
"2.300","2.317","1.000","0.000","588.001","0.0000"
"3.400","3.417","1.000","-225.949","588.713","0.0000"
"4.400","4.417","1.000","-357.022","657.155","0.0000"
"5.400","5.417","1.000","-21.222","555.393","0.0000"
"6.400","6.417","1.000","-119.818","612.810","0.0000"
"7.400","7.417","1.000","-153.318","657.093","0.0000"
"8.400","8.417","0.000","-359.967","598.430","0.0000"
"9.500","9.517","1.000","-154.321","720.422","0.0300"
"10.600","10.617","1.000","5.700","600.328","0.0300"
"11.700","11.717","1.000","-29.090","708.220","0.0300"
"12.800","12.817","1.000","-13.796","689.150","0.0300"
"13.900","13.917","1.000","8.841","581.958","0.0300"
"15.000","15.017","1.000","-70.027","634.419","0.0300"
"16.100","16.117","1.000","-3.095","568.815","0.0300"
"17.200","17.217","1.000","-67.225","637.831","0.0300"
"18.300","18.317","1.000","-204.718","685.380","0.0300"
"19.400","19.417","1.000","-288.657","660.383","0.0300"
"20.500","20.517","1.000","13.052","679.029","0.0300"
"21.600","21.617","1.000","-91.515","735.737","0.0300"
"22.700","22.717","1.000","-186.070","656.047","0.0300"
"23.800","23.817","1.000","5.823","708.508","0.0300"
"24.900","24.917","1.000","-33.657","660.143","0.0300"
"26.000","26.017","1.000","-414.822","683.488","0.0300"
"27.100","27.117","0.000","-146.619","726.893","0.0000"
"28.200","28.217","1.000","-12.355","646.365","0.0300"
"29.300","29.317","1.000","-85.313","630.404","0.0300"
"30.400","30.417","1.000","-63.666","679.168","0.0300"
"31.500","31.517","0.000","-284.398","794.391","0.0000"
"32.600","32.617","0.906","25.725","576.468","0.0300"
"33.700","33.717","1.000","-26.888","668.316","0.0300"
"34.800","34.817","0.254","-74.658","519.807","0.0095"
"35.900","35.917","1.000","-48.266","618.188","0.0300"
"37.000","37.017","1.000","-93.769","584.609","0.0300"
"38.100","38.117","0.000","-66.917","610.778","0.0000"
"39.200","39.217","1.000","-37.902","588.720","0.0300"
"40.300","40.317","0.000","-39.588","502.062","0.0000"
"41.400","41.417","0.405","-27.646","351.495","0.0136"
"42.500","42.517","1.000","-73.367","463.419","0.0300"
"43.600","43.617","1.000","-53.582","615.926","0.0300"
"44.699","44.717","0.000","-78.768","625.589","0.0000"
"45.799","45.817","1.000","-173.385","697.058","0.0300"
"46.899","46.917","1.000","-33.224","642.558","0.0300"
"47.999","48.017","1.000","-20.398","560.282","0.0300"
"49.099","49.117","0.783","-140.770","572.331","0.0258"
"50.199","50.217","1.000","-62.869","560.118","0.0000"
"51.299","51.317","0.000","-59.676","594.110","0.0000"
"52.399","52.417","1.000","-180.501","600.474","0.0000"
"53.499","53.517","1.000","-79.153","692.781","0.0000"
"54.599","54.617","1.000","-47.590","792.953","0.0000"
"55.699","55.717","1.000","-56.735","747.525","0.0000"
"56.799","56.817","1.000","-79.095","694.279","0.0000"
"57.899","57.917","1.000","-82.389","757.117","0.0000"
"58.999","59.017","1.000","-41.540","688.692","0.0000"
"60.099","60.117","1.000","-23.880","740.416","0.0000"
