"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","29.70","0"
"BucketWheel","2.30","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","28.05","0"
"BucketWheel","3.40","-14.00","-225.949","0.000","42.937","0.0078","0.0286","0.0000","0.0000","1.5514","26.40","0"
"BucketWheel","4.40","-14.00","-357.022","0.000","-319.435","0.0181","0.0299","0.0002","-0.0002","1.5501","24.90","0"
"BucketWheel","5.40","-14.00","-21.222","-0.000","-68.678","0.0020","0.0281","0.0002","-0.0002","1.5519","23.40","0"
"BucketWheel","6.40","-14.00","-119.818","-0.039","-82.737","0.0000","0.0305","0.0002","-0.0002","1.5495","23.05","0"
"BucketWheel","7.40","-14.00","-153.318","0.020","-143.809","0.0072","0.0313","0.0002","-0.0002","1.5487","23.13","0"
"BucketWheel","8.40","-14.00","-361.106","1.925","-85.910","0.0170","0.0670","0.0053","-0.0053","1.5133","24.67","0"
"BucketWheel","9.50","-14.00","-154.362","1.204","-124.817","0.0229","0.0823","0.0060","-0.0060","1.4979","27.00","0"
"BucketWheel","10.60","-14.00","5.705","6.147","-13.676","0.0282","0.0817","0.0180","0.0180","1.5003","27.79","0"
"BucketWheel","11.70","-14.00","-29.098","12.383","8.321","0.0695","0.0583","0.0417","0.0417","1.5393","26.21","0"
"BucketWheel","12.80","-14.00","-12.465","9.962","-46.056","0.1117","0.0754","0.0659","0.0659","1.5433","24.56","0"
"BucketWheel","13.90","-14.00","10.625","1.439","-44.762","0.0806","0.0926","0.0899","0.0899","1.5580","22.91","0"
"BucketWheel","15.00","-14.00","-65.130","14.046","-133.152","0.0211","0.1245","0.1115","0.1115","1.5246","22.11","0"
"BucketWheel","16.10","-14.00","-2.297","9.628","-7.994","0.0223","0.1459","0.1357","0.1357","1.5264","20.46","0"
"BucketWheel","17.20","-14.00","-62.817","9.374","-46.229","0.0221","0.1628","0.1599","0.1599","1.5495","18.81","0"
"BucketWheel","18.30","-14.00","-197.683","27.314","-127.774","0.0251","0.1805","0.1777","0.1777","1.5484","17.98","0"
"BucketWheel","19.40","-14.00","-286.886","51.680","-315.731","0.0221","0.1978","0.1951","0.1951","1.5477","19.46","0"
