"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","18.000000","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","20.800000","22.000000","0.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","24.400000","27.600000","7.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","24.400000","30.000000","9.200000","1.600000","1.600000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","22.000000","30.000000","11.600000","4.400000","5.200000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","35.800001","46.800001","13.600000","3.600000","5.200000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","25.600000","48.000001","18.600000","3.200000","5.200000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","21.000000","51.200001","19.800000","0.800000","6.000000","3.600000","0.000000","3.600000","0.000000","0"
"11.70","10.200000","51.200001","20.000000","3.800000","9.000000","3.600000","0.000000","3.600000","3.600000","0"
"12.80","13.200000","55.200001","20.600000","3.000000","9.000000","3.600000","0.000000","4.200000","3.600000","0"
"13.90","11.400000","55.200001","20.600000","2.600000","9.000000","4.400000","0.000000","4.400000","3.600000","0"
"15.00","20.600000","63.400001","23.000000","0.000000","9.000000","5.000000","0.000000","5.400000","4.400000","0"
"16.10","14.000000","63.400001","23.600000","1.800000","11.200000","6.600000","0.000000","6.600000","6.600000","0"
"17.20","12.000000","67.600001","23.600000","1.400000","11.400000","6.600000","0.000000","6.600000","6.600000","0"
"18.30","22.000000","69.800001","26.000000","1.200000","11.600000","6.600000","0.000000","6.600000","6.600000","0"
"19.40","28.600000","71.000001","32.000000","0.600000","12.200000","6.600000","0.000000","7.200000","6.600000","0"
"20.50","25.800000","75.200001","35.400001","1.000000","12.600000","7.600000","0.000000","7.600000","7.600000","0"
"21.60","20.000000","75.800001","39.200001","1.600000","13.800000","7.600000","0.000000","7.600000","7.600000","0"
"22.70","19.800000","79.800001","40.000001","3.000000","16.800000","7.600000","0.000000","7.600000","7.600000","0"
"23.80","19.800000","81.600001","43.400001","2.200000","17.200000","7.800000","0.000000","7.800000","7.600000","0"
"24.90","12.600000","85.800001","43.400001","2.000000","17.200000","7.800000","0.000000","7.800000","7.800000","0"
"26.00","25.800000","89.800001","44.000001","2.800000","18.400000","7.800000","0.000000","7.800000","7.800000","0"
"27.10","20.400000","91.000001","46.400001","1.200000","18.800000","8.400000","0.000000","8.400000","8.200000","0"
"28.20","15.800000","92.400001","47.000001","1.200000","18.800000","9.400000","0.400000","9.800000","9.400000","0"
"29.30","10.400000","92.400001","47.800001","0.800000","18.800000","9.400000","0.400000","9.800000","9.400000","0"
"30.40","12.400000","95.000001","48.200001","1.400000","20.600000","10.600000","0.400000","11.000000","9.400000","0"
"31.50","22.800000","97.800001","50.400001","1.600000","20.800000","10.600000","0.400000","11.000000","11.000000","0"
"32.60","22.400000","98.200001","51.600001","2.200000","21.600000","10.600000","0.400000","11.000000","11.000000","0"
"33.70","18.000000","99.000001","53.400001","0.600000","21.600000","11.000000","0.400000","12.200000","11.000000","0"
"34.80","19.400000","103.400002","55.000001","3.400000","25.000000","11.600000","0.600000","12.200000","12.000000","0"
"35.90","19.000000","104.200002","55.400001","2.400000","25.000000","11.800000","0.600000","12.400000","12.000000","0"
"37.00","17.200000","107.600002","57.200001","2.400000","25.400000","12.000000","0.600000","12.600000","12.200000","0"
"38.10","13.600000","113.600002","57.400001","0.600000","25.600000","12.200000","0.600000","13.400000","12.600000","0"
