"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6680.000100","0.000000","0","0","0.000000","0.000"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"3.40","78.69","0.300","0.00","54.70","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","74.81","0.300","0.00","117.08","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"5.40","78.43","0.300","0.00","16.94","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000"
"6.40","77.67","0.299","6.11","49.78","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.697"
"7.40","77.99","0.287","11.72","52.47","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.639"
"8.40","74.09","0.282","13.88","104.12","60000.000894","0.000000000","6700.000100","0.000000","0","0","0.000000","0.447"
"9.50","77.59","0.257","46.57","53.56","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.331"
"10.60","78.43","0.287","34.09","3.15","60000.000894","0.000000000","7043.600105","3.600000","0","0","0.000000","1.827"
"11.70","79.52","0.261","37.34","5.67","60000.000894","0.000000000","7334.000109","3.600000","0","0","0.000000","0.503"
"12.80","79.57","0.279","25.24","14.29","60000.000894","0.000000000","7986.200119","3.600000","0","0","0.000000","1.640"
"13.90","79.53","0.253","38.08","15.07","60000.000894","0.000000000","8420.000125","4.400000","0","0","0.000000","1.024"
"15.00","77.55","0.269","35.94","46.93","60000.000894","0.000000000","8756.800130","5.000000","0","0","0.000000","0.395"
"16.10","79.34","0.290","8.12","5.23","60000.000894","0.000000000","9699.600145","6.600000","0","0","0.000000","1.112"
"17.20","79.57","0.237","52.18","17.39","60000.000894","0.000000000","10109.800151","6.600000","0","0","0.000000","0.000"
"18.30","76.56","0.262","30.17","71.81","60000.000894","0.000000000","9840.400147","6.600000","0","0","0.000000","1.195"
"19.40","74.35","0.281","13.02","121.88","60000.000894","0.000000000","9391.400140","6.600000","0","0","0.000000","0.183"
