"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","0.0000","1.7053","1.7738","-0.0150"
"2.300","1","0.000","0","0.0000","1.7053","1.7573","-0.0150"
"3.400","1","0.139","0","0.0000","1.7053","1.7409","-0.0150"
"4.400","1","0.532","0","-0.0002","1.7053","1.7246","-0.0150"
"5.400","1","0.240","0","-0.0002","1.7053","1.7114","-0.0150"
"6.400","1","0.125","0","-0.0002","1.7053","1.7053","0.0000"
"7.400","1","0.081","0","-0.0002","1.7053","1.7051","0.0072"
"8.400","1","0.883","1","-0.0053","1.7053","1.6753","0.0400"
"9.500","1","0.136","0","-0.0057","1.7053","1.6927","0.0150"
"10.600","1","0.168","0","0.0183","1.7037","1.7040","-0.0150"
"11.700","1","0.051","0","0.0420","1.7018","1.7276","-0.0150"
"12.800","1","0.274","0","0.0662","1.6997","1.7347","-0.0150"
"13.900","1","0.042","0","0.0909","1.6977","1.7407","-0.0150"
"15.000","1","0.176","0","0.1115","1.6960","1.6971","-0.0150"
"16.100","1","0.151","0","0.1357","1.6940","1.7208","-0.0150"
"17.200","1","0.054","0","0.1625","1.6917","1.7344","-0.0150"
"18.300","1","0.291","0","0.1802","1.6902","1.6934","-0.0150"
"19.400","1","0.472","0","0.1977","1.6888","1.6704","0.0150"
"20.500","1","0.550","0","0.2213","1.6868","1.6826","0.0150"
"21.600","1","0.211","0","0.2451","1.6848","1.6846","0.0149"
"22.700","1","0.349","0","0.2694","1.6828","1.6827","0.0098"
"23.800","1","0.118","0","0.2937","1.6808","1.6808","-0.0024"
"24.900","1","0.231","0","0.3180","1.6788","1.7015","-0.0150"
"26.000","1","0.491","0","0.3419","1.6768","1.6632","0.0150"
"27.100","1","0.468","1","0.3458","1.6765","1.6774","0.0400"
"28.200","1","0.530","0","0.3636","1.6750","1.6908","-0.0150"
"29.300","1","0.257","0","0.3730","1.6742","1.6981","-0.0150"
"30.400","1","0.059","0","0.4001","1.6719","1.7165","-0.0150"
"31.500","1","0.504","1","0.3934","1.6725","1.6706","0.0400"
"32.600","1","0.628","0","0.4065","1.6714","1.6693","0.0150"
"33.700","1","0.231","0","0.4301","1.6694","1.6693","0.0086"
"34.800","1","0.824","0","0.4539","1.6674","1.6682","-0.0150"
"35.900","1","0.542","0","0.4585","1.6671","1.6694","-0.0150"
"37.000","1","0.313","0","0.4816","1.6653","1.6755","-0.0150"
"38.100","1","0.249","1","0.4892","1.6653","1.6829","0.0400"
"39.200","1","0.244","0","0.4921","1.6653","1.6790","-0.0150"
"40.300","1","0.359","1","0.5013","1.6653","1.6763","0.0400"
"41.400","1","0.778","0","0.5194","1.6653","1.6819","-0.0150"
"42.500","1","0.445","0","0.5398","1.6653","1.6795","-0.0150"
"43.600","1","0.379","0","0.5402","1.6653","1.6861","-0.0150"
"44.699","1","0.611","1","0.5565","1.6653","1.6639","0.0400"
"45.799","1","0.238","0","0.5690","1.6653","1.6642","0.0150"
"46.899","1","0.379","0","0.5547","1.6653","1.6736","-0.0150"
"47.999","1","0.305","0","0.5780","1.6653","1.6649","0.0150"
"49.099","1","0.665","0","0.6022","1.6653","1.6654","-0.0064"
"50.199","1","0.403","0","0.6211","1.6653","1.6557","0.0150"
"51.299","1","0.551","1","0.6194","1.6653","1.6585","0.0400"
"52.399","1","0.346","0","0.6184","1.6653","1.6658","-0.0150"
"53.499","1","0.282","0","0.6183","1.6653","1.6811","-0.0150"
"54.599","1","0.200","0","0.6183","1.6653","1.6626","0.0150"
"55.699","1","0.261","0","0.6184","1.6653","1.6698","-0.0150"
"56.799","1","0.242","0","0.6185","1.6653","1.6646","0.0150"
"57.899","1","0.188","0","0.6184","1.6653","1.6652","0.0054"
"58.999","1","0.133","0","0.6185","1.6653","1.6649","0.0150"
"60.099","1","0.118","0","0.6189","1.6653","1.6663","-0.0150"
