"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-44.402","0.045","26.129","-44.402","0.045","26.129","-1"
"-111.031","0.242","25.432","-111.031","0.242","25.432","-1"
"-50.737","0.289","-106.860","-50.737","0.289","-106.860","-1"
"6.571","-2.768","-81.032","6.571","-2.768","-81.032","-1"
"-5.476","-1.155","-66.508","-5.476","-1.155","-66.508","-1"
"1.807","9.029","-35.823","1.807","9.029","-35.823","-1"
"-32.687","3.444","-2.872","-32.687","3.444","-2.872","-1"
"-149.888","-8.336","-99.228","-149.888","-8.336","-99.228","-1"
"-59.601","7.973","-62.307","-59.601","7.973","-62.307","-1"
"-175.662","-78.667","-54.950","-175.662","-78.667","-54.950","-1"
"-372.546","-84.208","-55.170","-372.546","-84.208","-55.170","-1"
"-88.008","-30.331","42.274","-88.008","-30.331","42.274","-1"
"1.300","-2.331","-93.317","1.300","-2.331","-93.317","-1"
"17.518","-4.295","-99.749","17.518","-4.295","-99.749","-1"
"-12.596","-7.169","-112.326","-12.596","-7.169","-112.326","-1"
"0.271","2.828","-83.811","0.271","2.828","-83.811","-1"
"-50.052","16.575","6.246","-50.052","16.575","6.246","-1"
"-2.553","0.183","-34.843","-2.553","0.183","-34.843","-1"
"-9.756","-4.045","-82.039","-9.756","-4.045","-82.039","-1"
"-260.694","106.650","45.226","-260.694","106.650","45.226","-1"
"-131.991","34.203","81.955","-131.991","34.203","81.955","-1"
"-57.055","24.871","-45.143","-57.055","24.871","-45.143","-1"
"49.694","44.721","-120.061","49.694","44.721","-120.061","-1"
"-153.185","46.197","12.597","-153.185","46.197","12.597","-1"
"-66.000","38.058","-31.905","-66.000","38.058","-31.905","-1"
"-125.504","23.560","4.971","-125.504","23.560","4.971","-1"
"-135.945","20.653","274.995","-135.945","20.653","274.995","-1"
"-107.912","16.875","545.392","-107.912","16.875","545.392","-1"
"-25.230","33.336","555.794","-25.230","33.336","555.794","-1"
