"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","588.000","0.0000"
"2.300","2.317","1.000","0.000","588.001","0.0000"
"3.400","3.417","1.000","-225.947","588.713","0.0000"
"4.400","4.417","1.000","-357.020","657.153","0.0000"
"5.400","5.417","1.000","-21.329","555.676","0.0000"
"6.400","6.417","1.000","-71.796","611.067","0.0000"
"7.400","7.417","1.000","-160.272","647.707","0.0000"
"8.400","8.417","1.000","-56.876","694.207","0.0000"
"9.500","9.517","0.000","-64.356","728.651","0.0000"
"10.600","10.617","1.000","-6.125","644.700","0.0300"
"11.700","11.717","1.000","-0.105","623.497","0.0300"
"12.800","12.817","0.000","-11.730","540.431","0.0000"
"13.900","13.917","1.000","-2.979","688.842","0.0300"
"15.000","15.017","1.000","-67.322","599.031","0.0300"
"16.100","16.117","1.000","-21.557","610.796","0.0300"
"17.200","17.217","1.000","-32.726","550.399","0.0300"
"18.300","18.317","1.000","-79.842","552.601","0.0300"
"19.400","19.417","1.000","-65.830","642.482","0.0300"
"20.500","20.517","1.000","-206.746","557.827","0.0300"
"21.600","21.617","1.000","-247.739","651.278","0.0300"
"22.700","22.717","1.000","-179.188","607.112","0.0300"
"23.800","23.817","0.762","-273.999","664.270","0.0230"
"24.900","24.917","1.000","-70.369","628.722","0.0300"
"26.000","26.017","1.000","-58.140","617.451","0.0300"
"27.100","27.117","0.000","-7.484","649.881","0.0000"
"28.200","28.217","1.000","-5.627","648.241","0.0300"
"29.300","29.317","1.000","0.000","648.435","0.0300"
"30.400","30.417","0.000","-0.001","652.566","0.0000"
"31.500","31.517","0.000","0.000","631.105","0.0000"
"32.600","32.617","1.000","-0.035","661.998","0.0300"
"33.700","33.717","1.000","0.000","681.658","0.0300"
"34.800","34.817","1.000","-9.631","647.185","0.0300"
"35.900","35.917","1.000","-1.040","614.683","0.0300"
"37.000","37.017","0.000","-1.720","617.521","0.0000"
"38.100","38.117","1.000","-5.122","654.115","0.0300"
"39.200","39.217","1.000","-4.450","682.705","0.0300"
"40.300","40.317","1.000","-3.735","672.668","0.0300"
"41.400","41.417","1.000","-11.309","613.195","0.0300"
"42.500","42.517","1.000","-76.484","571.123","0.0300"
"43.600","43.617","0.000","-63.280","556.227","0.0000"
"44.699","44.717","1.000","-5.292","634.027","0.0300"
"45.799","45.817","1.000","-6.895","633.444","0.0300"
"46.899","46.917","1.000","-8.857","633.459","0.0300"
"47.999","48.017","0.000","-27.046","636.921","0.0000"
"49.099","49.117","1.000","-18.024","614.358","0.0300"
"50.199","50.217","1.000","-13.109","574.515","0.0000"
"51.299","51.317","1.000","-117.900","550.605","0.0000"
"52.399","52.417","1.000","-50.225","582.295","0.0000"
"53.499","53.517","1.000","-116.027","510.460","0.0000"
"54.599","54.617","1.000","-28.708","575.140","0.0000"
"55.699","55.717","1.000","-118.305","525.727","0.0000"
"56.799","56.817","1.000","-83.365","449.319","0.0000"
"57.899","57.917","1.000","-29.482","450.469","0.0000"
"58.999","59.017","1.000","-53.266","169.597","0.0000"
"60.099","60.117","1.000","-136.423","214.907","0.0000"
