"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","29.70","0"
"BucketWheel","2.30","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","28.05","0"
"BucketWheel","3.40","-14.00","-225.947","0.000","42.938","0.0078","0.0286","0.0000","-0.0000","1.5514","26.40","0"
"BucketWheel","4.40","-14.00","-357.020","0.000","-319.437","0.0181","0.0299","0.0002","-0.0002","1.5501","24.90","0"
"BucketWheel","5.40","-14.00","-21.329","-0.000","-68.648","0.0020","0.0281","0.0002","-0.0002","1.5519","23.40","0"
"BucketWheel","6.40","-14.00","-71.796","0.045","-81.241","0.0002","0.0305","0.0002","-0.0002","1.5495","23.05","0"
"BucketWheel","7.40","-14.00","-160.272","0.985","-151.950","0.0026","0.0311","0.0002","-0.0002","1.5489","23.11","0"
"BucketWheel","8.40","-14.00","-57.946","-0.042","-155.695","0.0199","0.0575","0.0063","-0.0063","1.5229","24.54","0"
"BucketWheel","9.50","-14.00","-66.561","-14.804","-55.214","0.1823","0.0573","0.0299","-0.0296","1.5311","26.86","0"
"BucketWheel","10.60","-14.00","-6.466","0.078","-27.452","0.0210","0.0564","0.0474","-0.0472","1.5494","28.14","0"
"BucketWheel","11.70","-14.00","-0.105","-0.527","-3.078","0.0222","0.0382","0.0235","-0.0231","1.5499","26.49","0"
"BucketWheel","12.80","-14.00","-11.574","6.748","-7.246","0.1474","0.0484","0.0084","-0.0063","1.5323","25.21","0"
"BucketWheel","13.90","-14.00","-3.030","4.794","2.064","0.1186","0.0631","0.0157","-0.0132","1.5188","25.94","0"
"BucketWheel","15.00","-14.00","-67.416","19.657","13.224","0.0221","0.0557","0.0138","0.0109","1.5260","24.85","0"
"BucketWheel","16.10","-14.00","-21.523","3.475","-1.949","0.0235","0.0545","0.0359","0.0350","1.5390","23.20","0"
"BucketWheel","17.20","-14.00","-31.636","3.365","-25.970","0.0436","0.0703","0.0598","0.0592","1.5431","21.55","0"
"BucketWheel","18.30","-14.00","-77.329","-1.551","-60.497","0.0224","0.0929","0.0839","0.0835","1.5400","20.30","0"
