"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","18.000000","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","20.800000","22.000000","0.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","24.400000","27.600000","7.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","24.400000","29.600000","9.200000","1.200000","1.200000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","21.600000","30.000000","12.000000","4.600000","5.400000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","29.200000","43.200001","13.600000","4.200000","5.800000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","25.000000","46.800001","15.800000","4.000000","6.000000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","6.600000","46.800001","15.800000","1.200000","6.600000","3.600000","0.000000","3.600000","0.000000","0"
"11.70","9.000000","46.800001","15.800000","1.200000","7.000000","4.200000","0.000000","4.200000","3.600000","0"
"12.80","11.600000","46.800001","15.800000","0.600000","7.200000","4.400000","0.000000","4.400000","4.200000","0"
"13.90","12.400000","46.800001","15.800000","0.400000","7.200000","4.800000","0.000000","4.800000","4.800000","0"
"15.00","19.400000","46.800001","15.800000","0.600000","7.600000","5.200000","0.000000","5.200000","5.000000","0"
"16.10","14.600000","48.200001","15.800000","0.000000","7.600000","5.400000","0.000000","5.400000","5.200000","0"
"17.20","16.400000","50.800001","16.000000","0.000000","7.600000","5.400000","0.000000","5.400000","5.400000","0"
"18.30","20.200000","52.000001","17.200000","0.200000","7.800000","5.400000","0.000000","5.400000","5.400000","0"
"19.40","19.800000","58.000001","20.400000","0.600000","8.200000","5.400000","0.000000","5.400000","5.400000","0"
"20.50","17.000000","58.200001","21.200000","2.600000","10.200000","5.400000","0.000000","5.400000","5.400000","0"
"21.60","22.000000","63.600001","24.800000","3.200000","11.200000","5.600000","0.000000","5.600000","5.400000","0"
"22.70","17.800000","64.400001","29.200000","2.400000","11.600000","6.000000","0.000000","6.000000","5.600000","0"
"23.80","21.200000","67.400001","32.400000","2.200000","13.600000","6.200000","0.000000","6.200000","6.200000","0"
"24.90","16.600000","68.600001","35.800001","1.800000","14.000000","8.000000","0.000000","8.400000","8.000000","0"
"26.00","11.600000","71.600001","37.600001","3.800000","16.200000","8.400000","0.000000","8.400000","8.400000","0"
"27.10","4.000000","74.800001","38.600001","2.600000","16.800000","9.800000","0.000000","9.800000","9.400000","0"
"28.20","5.400000","75.000001","38.600001","3.200000","17.600000","10.200000","0.000000","10.200000","10.000000","0"
"29.30","0.000000","75.400001","38.800001","1.800000","17.600000","10.800000","0.000000","11.000000","10.000000","0"
"30.40","0.400000","75.400001","38.800001","0.600000","17.800000","12.200000","0.000000","12.200000","11.800000","0"
"31.50","0.200000","75.400001","38.800001","0.000000","17.800000","13.200000","0.000000","13.200000","12.800000","0"
"32.60","0.200000","75.400001","38.800001","0.000000","17.800000","13.200000","0.000000","13.200000","13.000000","0"
"33.70","0.200000","75.400001","38.800001","0.000000","17.800000","13.200000","0.000000","13.200000","13.000000","0"
"34.80","2.600000","76.400001","38.800001","0.000000","17.800000","13.200000","0.000000","13.200000","13.000000","0"
"35.90","3.000000","77.000001","38.800001","0.000000","17.800000","13.200000","0.000000","13.200000","13.000000","0"
"37.00","2.800000","77.600001","38.800001","0.000000","17.800000","13.200000","0.000000","13.200000","13.000000","0"
"38.10","3.600000","77.600001","38.800001","0.000000","17.800000","13.200000","0.000000","13.200000","13.000000","0"
