"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6680.000100","0.000000","0","0","0.000000","0.000"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"3.40","78.69","0.300","0.00","54.70","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","74.81","0.300","0.00","117.08","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"5.40","78.43","0.300","0.00","16.93","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000"
"6.40","77.83","0.299","5.89","36.44","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.705"
"7.40","78.08","0.289","9.41","54.16","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.675"
"8.40","77.01","0.282","18.39","41.59","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.102"
"9.50","78.56","0.279","17.15","30.36","60000.000894","0.000000000","5983.400089","0.000000","0","0","0.000000","1.691"
"10.60","79.70","0.289","10.16","9.05","60000.000894","0.000000000","6011.000090","3.600000","0","0","0.000000","0.278"
"11.70","79.89","0.282","16.22","0.69","60000.000894","0.000000000","6444.200096","4.200000","0","0","0.000000","0.401"
"12.80","79.76","0.277","7.50","3.74","60000.000894","0.000000000","7064.200105","4.400000","0","0","0.000000","0.271"
"13.90","79.86","0.294","3.93","3.36","60000.000894","0.000000000","6999.600104","4.800000","0","0","0.000000","1.909"
"15.00","79.08","0.294","6.29","15.20","60000.000894","0.000000000","7079.200105","5.200000","0","0","0.000000","0.000"
"16.10","79.53","0.296","0.99","5.81","60000.000894","0.000000000","7676.200114","5.400000","0","0","0.000000","0.241"
"17.20","79.49","0.298","1.78","10.81","60000.000894","0.000000000","8188.600122","5.400000","0","0","0.000000","0.000"
"18.30","78.01","0.280","22.48","24.13","60000.000894","0.000000000","8502.000127","5.400000","0","0","0.000000","0.000"
"19.40","77.67","0.280","31.43","43.97","60000.000894","0.000000000","8934.000133","5.400000","0","0","0.000000","0.256"
