"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-44.402","0.045","26.125","-44.402","0.045","26.125","-1"
"-111.200","0.173","23.815","-111.200","0.173","23.815","-1"
"-349.177","0.436","-34.994","-349.177","0.436","-34.994","-1"
"-270.073","-1.336","-64.798","-270.073","-1.336","-64.798","-1"
"-27.233","10.340","-50.524","-27.233","10.340","-50.524","-1"
"-12.458","9.883","-51.069","-12.458","9.883","-51.069","-1"
"-5.968","-1.492","-64.860","-5.968","-1.492","-64.860","-1"
"-11.541","-1.104","-59.727","-11.541","-1.104","-59.727","-1"
"-78.930","9.211","-45.519","-78.930","9.211","-45.519","-1"
"-19.543","4.982","-30.046","-19.543","4.982","-30.046","-1"
"-52.841","1.768","-149.934","-52.841","1.768","-149.934","-1"
"-309.113","-2.809","24.619","-309.113","-2.809","24.619","-1"
"-251.646","11.776","17.580","-251.646","11.776","17.580","-1"
"-242.695","77.774","127.358","-242.695","77.774","127.358","-1"
"-190.418","58.522","49.945","-190.418","58.522","49.945","-1"
"-247.009","117.036","77.896","-247.009","117.036","77.896","-1"
"-167.073","43.772","58.220","-167.073","43.772","58.220","-1"
