"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","588.000","0.0000"
"2.300","2.317","1.000","0.000","588.001","0.0000"
"3.400","3.417","1.000","-225.955","588.713","0.0000"
"4.400","4.417","1.000","-357.021","657.154","0.0000"
"5.400","5.417","1.000","-21.333","555.684","0.0000"
"6.400","6.417","1.000","-73.910","613.165","0.0000"
"7.400","7.417","1.000","-62.132","635.287","0.0000"
"8.400","8.417","1.000","-62.972","653.848","0.0000"
"9.500","9.517","1.000","-96.744","691.110","0.0300"
"10.600","10.617","1.000","-17.857","651.676","0.0300"
"11.700","11.717","1.000","-7.553","568.858","0.0300"
"12.800","12.817","1.000","-18.991","524.139","0.0300"
"13.900","13.917","1.000","-8.905","647.693","0.0300"
"15.000","15.017","0.000","-3.022","598.789","0.0000"
"16.100","16.117","1.000","-0.010","636.974","0.0300"
"17.200","17.217","1.000","-11.804","614.854","0.0300"
"18.300","18.317","0.000","-0.001","617.984","0.0000"
"19.400","19.417","1.000","-2.427","581.217","0.0300"
"20.500","20.517","0.000","-13.689","709.191","0.0000"
"21.600","21.617","1.000","-0.436","615.581","0.0300"
"22.700","22.717","1.000","-20.052","626.420","0.0300"
"23.800","23.817","1.000","-266.747","588.247","0.0300"
"24.900","24.917","1.000","-16.085","544.203","0.0300"
"26.000","26.017","0.984","-64.372","480.457","0.0000"
"27.100","27.117","1.000","-47.673","487.720","0.0000"
"28.200","28.217","1.000","-54.814","531.569","0.0000"
"29.300","29.317","1.000","-50.779","653.827","0.0000"
"30.400","30.417","1.000","-125.853","541.611","0.0000"
"31.500","31.517","0.817","-104.377","448.253","0.0000"
"32.600","32.617","0.825","-199.350","506.952","0.0000"
"33.700","33.717","1.000","-55.941","580.373","0.0000"
"34.800","34.817","1.000","-133.267","554.246","0.0000"
"35.900","35.917","1.000","-56.521","559.056","0.0000"
"37.000","37.017","1.000","-127.539","558.270","0.0000"
