"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","29.70","0"
"BucketWheel","2.30","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","28.05","0"
"BucketWheel","3.40","-14.00","-225.955","-0.000","42.938","0.0078","0.0286","0.0000","0.0000","1.5514","26.40","0"
"BucketWheel","4.40","-14.00","-357.021","-0.000","-319.437","0.0181","0.0299","0.0002","-0.0002","1.5501","24.90","0"
"BucketWheel","5.40","-14.00","-21.333","-0.000","-68.660","0.0020","0.0281","0.0002","-0.0002","1.5519","23.40","0"
"BucketWheel","6.40","-14.00","-73.910","-0.014","-82.588","0.0008","0.0305","0.0002","-0.0002","1.5495","23.05","0"
"BucketWheel","7.40","-14.00","-62.132","0.027","-51.141","0.0035","0.0312","0.0002","-0.0002","1.5488","23.12","0"
"BucketWheel","8.40","-14.00","-62.972","0.466","-138.610","0.0026","0.0313","0.0002","-0.0002","1.5487","23.13","0"
"BucketWheel","9.50","-14.00","-96.884","1.013","-136.736","0.0844","0.0752","0.0155","-0.0155","1.5065","25.54","0"
"BucketWheel","10.60","-14.00","-17.858","-5.058","-30.428","0.0259","0.0817","0.0080","0.0080","1.4987","27.19","0"
"BucketWheel","11.70","-14.00","-7.537","3.944","13.075","0.0885","0.0474","0.0323","0.0323","1.5453","27.20","0"
"BucketWheel","12.80","-14.00","-18.975","8.621","-0.570","0.1276","0.0664","0.0558","0.0558","1.5441","25.55","0"
"BucketWheel","13.90","-14.00","-9.129","0.661","5.771","0.0580","0.0895","0.0803","0.0803","1.5405","23.90","0"
"BucketWheel","15.00","-14.00","-3.040","0.080","0.356","0.0109","0.0843","0.0733","0.0732","1.5383","24.91","0"
"BucketWheel","16.10","-14.00","-0.011","0.007","0.023","0.0233","0.0903","0.0886","0.0885","1.5627","24.00","0"
"BucketWheel","17.20","-14.00","-11.777","1.612","-0.447","0.0154","0.0762","0.0742","0.0737","1.5628","25.65","0"
"BucketWheel","18.30","-14.00","-0.001","0.000","0.000","0.0110","0.0679","0.0657","0.0656","1.5628","26.65","0"
"BucketWheel","19.40","-14.00","-2.436","0.336","1.021","0.0230","0.0860","0.0810","0.0809","1.5512","25.74","0"
"BucketWheel","20.50","-14.00","-13.561","3.470","-3.411","0.1360","0.0953","0.0881","0.0881","1.5438","25.00","0"
"BucketWheel","21.60","-14.00","-0.421","0.127","-0.397","0.0214","0.0934","0.0886","0.0886","1.5503","25.74","0"
"BucketWheel","22.70","-14.00","-19.537","2.131","-14.404","0.0232","0.1165","0.1128","0.1128","1.5509","24.09","0"
"BucketWheel","23.80","-14.00","-266.349","16.041","-198.832","0.0271","0.1404","0.1371","0.1371","1.5496","22.44","0"
"BucketWheel","24.90","-14.00","-15.746","24.951","-78.341","0.0227","0.1661","0.1614","0.1614","1.5407","22.29","0"
"BucketWheel","26.00","-14.00","-64.273","4.592","-37.787","0.0465","0.1659","0.1633","0.1633","1.5511","22.10","0"
"BucketWheel","27.10","-14.00","-47.458","18.291","-48.367","0.0391","0.1659","0.1623","0.1623","1.5453","21.98","0"
"BucketWheel","28.20","-14.00","-54.654","13.420","-4.854","0.0142","0.1663","0.1616","0.1616","1.5408","21.73","0"
"BucketWheel","29.30","-14.00","-48.625","11.639","-51.011","0.0484","0.1665","0.1616","0.1616","1.5401","20.08","0"
"BucketWheel","30.40","-14.00","-125.370","21.706","-7.017","0.0235","0.1656","0.1612","0.1612","1.5419","19.54","0"
"BucketWheel","31.50","-14.00","-102.072","14.261","-52.474","0.0250","0.1669","0.1605","0.1605","1.5342","19.79","0"
"BucketWheel","32.60","-14.00","-195.770","27.738","-117.244","0.0676","0.1688","0.1589","0.1589","1.5229","21.55","0"
"BucketWheel","33.70","-14.00","-54.742","14.474","-32.173","0.0017","0.1675","0.1588","0.1588","1.5268","21.85","0"
"BucketWheel","34.80","-14.00","-132.491","37.516","-16.042","0.0026","0.1637","0.1587","0.1587","1.5401","23.15","0"
"BucketWheel","35.90","-14.00","-56.168","13.137","0.682","0.0090","0.1626","0.1577","0.1576","1.5403","23.80","0"
"BucketWheel","37.00","-14.00","-127.453","21.736","-11.743","0.0050","0.1626","0.1574","0.1574","1.5395","24.41","0"
