"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","18.000000","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","20.800000","22.000000","0.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","24.400000","27.600000","7.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","24.400000","30.000000","9.200000","1.200000","1.200000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","21.600000","30.000000","12.000000","4.400000","5.200000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","20.000000","39.200001","13.200000","4.000000","5.600000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","28.600000","50.800001","16.000000","4.600000","7.200000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","22.400000","53.600001","19.000000","1.400000","7.800000","3.600000","0.000000","3.600000","0.000000","0"
"11.70","11.200000","54.400001","19.400000","1.000000","8.200000","4.000000","0.000000","4.000000","3.600000","0"
"12.80","12.000000","57.400001","19.400000","2.000000","9.600000","4.600000","0.000000","4.800000","4.400000","0"
"13.90","13.800000","58.400001","19.400000","1.800000","9.600000","5.000000","0.000000","5.000000","4.800000","0"
"15.00","9.600000","60.400001","19.400000","1.400000","9.600000","5.000000","0.000000","5.000000","5.000000","0"
"16.10","6.400000","60.400001","19.400000","0.000000","9.600000","5.400000","0.000000","6.200000","5.400000","0"
"17.20","5.000000","60.600001","19.400000","0.000000","9.600000","6.800000","0.000000","6.800000","6.800000","0"
"18.30","3.000000","60.600001","19.400000","0.000000","9.600000","6.800000","0.000000","6.800000","6.800000","0"
"19.40","10.000000","60.600001","19.400000","0.000000","9.600000","6.800000","0.000000","6.800000","6.800000","0"
"20.50","10.000000","61.200001","19.600000","0.000000","9.600000","6.800000","0.000000","6.800000","6.800000","0"
"21.60","5.200000","61.200001","19.600000","0.000000","9.600000","6.800000","0.000000","6.800000","6.800000","0"
"22.70","12.000000","62.600001","19.600000","0.000000","9.600000","6.800000","0.000000","6.800000","6.800000","0"
"23.80","19.600000","64.600001","22.400000","0.000000","9.600000","6.800000","0.000000","6.800000","6.800000","0"
"24.90","26.200000","71.600001","25.000000","0.000000","9.600000","6.800000","0.000000","6.800000","6.800000","0"
"26.00","19.600000","71.600001","26.800000","0.400000","10.000000","6.800000","0.000000","6.800000","6.800000","0"
"27.10","19.200000","71.800001","28.000000","0.600000","10.200000","6.800000","0.000000","6.800000","6.800000","0"
"28.20","17.000000","71.800001","28.800000","1.000000","10.800000","6.800000","0.000000","6.800000","6.800000","0"
"29.30","15.600000","71.800001","29.000000","0.600000","11.200000","7.200000","0.000000","7.200000","6.800000","0"
"30.40","15.800000","72.000001","29.400000","1.000000","12.000000","7.200000","0.000000","7.200000","7.200000","0"
"31.50","16.800000","72.200001","30.200000","1.000000","12.200000","7.400000","0.000000","7.400000","7.400000","0"
"32.60","17.600000","72.200001","30.800000","0.200000","12.200000","7.600000","0.000000","7.800000","7.400000","0"
"33.70","14.800000","72.400001","31.400000","0.400000","12.200000","8.000000","0.000000","8.000000","8.000000","0"
"34.80","15.400000","72.600001","32.200000","0.200000","12.400000","8.200000","0.000000","8.200000","8.000000","0"
"35.90","13.200000","72.600001","33.600001","0.400000","12.800000","8.200000","0.000000","8.200000","8.200000","0"
"37.00","14.600000","72.600001","33.600001","1.000000","13.600000","8.200000","0.000000","8.200000","8.200000","0"
