"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6680.000100","0.000000","0","0","0.000000","0.000"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"3.40","78.69","0.300","0.00","54.70","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","74.81","0.300","0.00","117.08","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"5.40","78.43","0.300","0.00","16.93","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000"
"6.40","77.82","0.299","5.95","36.28","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.690"
"7.40","78.37","0.288","10.98","20.58","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.006"
"8.40","78.23","0.281","19.33","43.83","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.045"
"9.50","76.36","0.269","27.35","51.24","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.200000","2.445"
"10.60","78.00","0.278","21.59","12.11","60000.000894","0.000000000","7043.600105","3.600000","0","0","0.000000","1.780"
"11.70","79.50","0.275","18.47","3.52","60000.000894","0.000000000","7176.000107","4.000000","0","0","0.000000","0.665"
"12.80","79.65","0.284","11.50","6.27","60000.000894","0.000000000","7747.000115","4.600000","0","0","0.000000","1.044"
"13.90","79.86","0.276","32.59","1.86","60000.000894","0.000000000","8306.400124","5.000000","0","0","0.000000","0.929"
"15.00","79.89","0.276","23.57","0.66","60000.000894","0.000000000","8277.400123","5.000000","0","0","0.000000","0.000"
"16.10","79.97","0.284","12.41","0.01","60000.000894","0.000000000","8306.800124","5.400000","0","0","0.000000","0.181"
"17.20","79.92","0.299","0.17","3.06","60000.000894","0.000000000","7956.000119","6.800000","0","0","0.000000","0.285"
"18.30","80.00","0.298","2.33","0.00","60000.000894","0.000000000","7968.200119","6.800000","0","0","0.000000","0.022"
"19.40","79.92","0.289","7.85","0.65","60000.000894","0.000000000","7915.600118","6.800000","0","0","0.000000","0.000"
"20.50","79.86","0.288","13.04","3.63","60000.000894","0.000000000","8280.200123","6.800000","0","0","0.000000","0.212"
"21.60","79.99","0.286","41.98","0.13","60000.000894","0.000000000","8318.800124","6.800000","0","0","0.000000","0.000"
"22.70","79.87","0.287","8.89","5.80","60000.000894","0.000000000","8634.600129","6.800000","0","0","0.000000","0.215"
"23.80","76.97","0.300","0.01","75.88","60000.000894","0.000000000","8570.000128","6.800000","0","0","0.000000","0.223"
"24.90","76.59","0.255","40.88","52.79","60000.000894","0.000000000","8889.600132","6.800000","0","0","0.000000","1.089"
"26.00","78.54","0.283","21.35","21.69","60000.000894","0.000000000","8886.600132","6.800000","0","0","0.000000","0.265"
"27.10","78.58","0.295","1.79","13.67","60000.000894","0.000000000","8894.400133","6.800000","0","0","0.000000","1.584"
"28.20","78.53","0.204","94.14","18.88","60000.000894","0.000000000","9061.200135","6.800000","0","0","0.000000","1.404"
"29.30","78.96","0.287","15.45","17.31","60000.000894","0.000000000","9432.200141","7.200000","0","0","0.000000","1.981"
"30.40","78.06","0.291","9.32","36.96","60000.000894","0.000000000","9441.200141","7.200000","0","0","0.000000","1.398"
"31.50","78.30","0.284","20.26","31.81","60000.000894","0.000000000","9441.600141","7.400000","0","0","0.000000","1.157"
"32.60","77.97","0.290","10.43","67.38","60000.000894","0.000000000","9232.800138","7.600000","0","0","0.200000","2.061"
"33.70","78.55","0.293","9.00","29.74","60000.000894","0.000000000","9201.000137","8.000000","0","0","0.000000","0.142"
"34.80","77.92","0.287","5.05","44.13","60000.000894","0.000000000","8631.800129","8.200000","0","0","0.000000","0.571"
"35.90","78.75","0.294","2.34","27.59","60000.000894","0.000000000","8574.000128","8.200000","0","0","0.000000","0.970"
"37.00","78.50","0.177","185.53","31.44","60000.000894","0.000000000","8294.000124","8.200000","0","0","0.000000","0.641"
