"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","0.0000","1.7053","1.7738","-0.0150"
"2.300","1","0.000","0","0.0000","1.7053","1.7573","-0.0150"
"3.400","1","0.139","0","0.0000","1.7053","1.7409","-0.0150"
"4.400","1","0.532","0","-0.0002","1.7053","1.7246","-0.0150"
"5.400","1","0.241","0","-0.0002","1.7053","1.7114","-0.0150"
"6.400","1","0.115","0","-0.0002","1.7053","1.7053","-0.0008"
"7.400","1","0.052","0","-0.0002","1.7053","1.7053","-0.0035"
"8.400","1","0.079","0","-0.0002","1.7053","1.7052","0.0026"
"9.500","1","0.349","0","-0.0155","1.7053","1.6862","0.0150"
"10.600","1","0.162","0","0.0081","1.7046","1.6956","0.0150"
"11.700","1","0.044","0","0.0324","1.7026","1.7420","-0.0150"
"12.800","1","0.066","0","0.0560","1.7006","1.7397","-0.0150"
"13.900","1","0.025","0","0.0803","1.6986","1.7320","-0.0150"
"15.000","1","0.024","1","0.0731","1.6992","1.7436","0.0400"
"16.100","1","0.010","0","0.0895","1.6978","1.7526","-0.0150"
"17.200","1","0.014","0","0.0750","1.6990","1.7621","-0.0150"
"18.300","1","0.011","1","0.0668","1.6997","1.7794","0.0400"
"19.400","1","0.012","0","0.0817","1.6985","1.7425","-0.0150"
"20.500","1","0.054","1","0.0888","1.6979","1.7408","0.0400"
"21.600","1","0.014","0","0.0895","1.6978","1.7595","-0.0150"
"22.700","1","0.032","0","0.1137","1.6958","1.7425","-0.0150"
"23.800","1","0.339","0","0.1380","1.6938","1.7006","-0.0150"
"24.900","1","0.577","0","0.1624","1.6917","1.6900","0.0150"
"26.000","1","0.605","0","0.1644","1.6916","1.6989","-0.0150"
"27.100","1","0.503","0","0.1633","1.6917","1.6914","0.0150"
"28.200","1","0.400","0","0.1626","1.6917","1.6935","-0.0150"
"29.300","1","0.139","0","0.1626","1.6917","1.6953","-0.0150"
"30.400","1","0.407","0","0.1623","1.6917","1.6914","0.0150"
"31.500","1","0.655","0","0.1613","1.6918","1.6862","0.0150"
"32.600","1","0.653","0","0.1594","1.6920","1.6820","0.0150"
"33.700","1","0.342","0","0.1593","1.6920","1.6879","0.0150"
"34.800","1","0.401","0","0.1593","1.6920","1.6858","0.0150"
"35.900","1","0.212","0","0.1581","1.6921","1.6915","0.0150"
"37.000","1","0.299","0","0.1579","1.6921","1.6821","0.0150"
