"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-44.400","0.045","26.131","-44.400","0.045","26.131","-1"
"-164.837","-0.042","47.928","-164.837","-0.042","47.928","-1"
"-78.063","6.196","-71.473","-78.063","6.196","-71.473","-1"
"-69.915","-3.083","-145.188","-69.915","-3.083","-145.188","-1"
"52.836","-2.571","78.295","52.836","-2.571","78.295","-1"
"-2.579","0.109","-72.044","-2.579","0.109","-72.044","-1"
"-44.079","-10.559","-29.617","-44.079","-10.559","-29.617","-1"
"6.867","-12.283","-65.166","6.867","-12.283","-65.166","-1"
"-119.875","-1.657","76.490","-119.875","-1.657","76.490","-1"
"-31.223","-8.248","-75.274","-31.223","-8.248","-75.274","-1"
"-266.007","-29.833","198.695","-266.007","-29.833","198.695","-1"
"-86.097","-21.904","-183.909","-86.097","-21.904","-183.909","-1"
"-133.877","-47.554","-234.038","-133.877","-47.554","-234.038","-1"
"-102.848","-11.646","-96.684","-102.848","-11.646","-96.684","-1"
"-72.248","-0.805","-92.477","-72.248","-0.805","-92.477","-1"
"-18.058","-0.045","-75.394","-18.058","-0.045","-75.394","-1"
"-11.891","-2.495","-80.218","-11.891","-2.495","-80.218","-1"
