"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","588.000","0.0000"
"2.300","2.317","1.000","0.000","588.001","0.0000"
"3.400","3.417","1.000","-225.944","588.713","0.0000"
"4.400","4.417","1.000","-416.601","657.156","0.0000"
"5.400","5.417","1.000","-17.146","543.638","0.0000"
"6.400","6.417","1.000","-45.221","597.957","0.0000"
"7.400","7.417","1.000","-238.773","610.602","0.0000"
"8.400","8.417","1.000","-133.426","546.925","0.0000"
"9.500","9.517","1.000","-65.072","598.719","0.0300"
"10.600","10.617","0.000","-40.147","626.700","0.0000"
"11.700","11.717","1.000","-89.573","601.632","0.0300"
"12.800","12.817","0.000","-2.088","667.216","0.0000"
"13.900","13.917","1.000","-0.093","631.645","0.0300"
"15.000","15.017","1.000","-5.948","736.507","0.0300"
"16.100","16.117","1.000","-8.611","585.336","0.0300"
"17.200","17.217","1.000","1.881","619.006","0.0300"
"18.300","18.317","1.000","-22.173","625.313","0.0300"
"19.400","19.417","1.000","-19.055","562.326","0.0300"
"20.500","20.517","1.000","-250.312","670.569","0.0300"
"21.600","21.617","1.000","-42.809","623.100","0.0300"
"22.700","22.717","0.000","-16.151","649.653","0.0000"
"23.800","23.817","1.000","-65.804","596.758","0.0300"
"24.900","24.917","1.000","-16.457","641.110","0.0300"
"26.000","26.017","1.000","-117.344","675.054","0.0000"
"27.100","27.117","1.000","-67.318","618.581","0.0000"
"28.200","28.217","1.000","-225.092","694.298","0.0000"
"29.300","29.317","1.000","-25.259","649.515","0.0000"
"30.400","30.417","1.000","-149.129","575.463","0.0000"
"31.500","31.517","1.000","-74.880","590.719","0.0000"
"32.600","32.617","1.000","-8.510","635.528","0.0000"
"33.700","33.717","1.000","-64.951","593.237","0.0000"
"34.800","34.817","1.000","-49.076","611.242","0.0000"
"35.900","35.917","1.000","-13.862","629.926","0.0000"
"37.000","37.017","1.000","-6.311","635.621","0.0000"
