"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","29.70","0"
"BucketWheel","2.30","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","28.05","0"
"BucketWheel","3.40","-14.00","-225.944","0.000","42.937","0.0078","0.0286","0.0000","-0.0000","1.5514","26.40","0"
"BucketWheel","4.40","-14.00","-416.601","0.027","-309.379","0.0191","0.0299","0.0002","-0.0002","1.5501","24.90","0"
"BucketWheel","5.40","-14.00","-17.146","0.030","-60.690","0.0034","0.0281","0.0002","-0.0002","1.5519","23.40","0"
"BucketWheel","6.40","-14.00","-45.221","1.548","-3.688","0.0010","0.0298","0.0002","-0.0002","1.5502","22.98","0"
"BucketWheel","7.40","-14.00","-238.773","-1.917","-95.193","0.0070","0.0300","0.0002","-0.0002","1.5500","23.00","0"
"BucketWheel","8.40","-14.00","-133.678","4.432","-40.398","0.0155","0.0546","0.0196","-0.0196","1.5290","24.67","0"
"BucketWheel","9.50","-14.00","-65.150","7.467","-102.888","0.0232","0.0437","0.0121","-0.0121","1.5380","24.52","0"
"BucketWheel","10.60","-14.00","-40.162","-6.497","3.703","0.0184","0.0801","0.0021","-0.0021","1.4999","25.51","0"
"BucketWheel","11.70","-14.00","-89.559","-10.923","-61.595","0.0221","0.0812","0.0171","0.0171","1.5006","27.16","0"
"BucketWheel","12.80","-14.00","-2.203","-0.545","6.219","0.0578","0.0336","0.0182","0.0179","1.5517","28.05","0"
"BucketWheel","13.90","-14.00","-0.094","-0.165","0.027","0.0218","0.0311","0.0255","0.0251","1.5621","28.23","0"
"BucketWheel","15.00","-14.00","-5.915","-6.311","-0.923","0.1384","0.0696","0.0494","0.0492","1.5309","26.58","0"
"BucketWheel","16.10","-14.00","-8.138","-1.282","-17.892","0.0392","0.0769","0.0704","0.0703","1.5491","24.93","0"
"BucketWheel","17.20","-14.00","1.960","-0.210","-18.963","0.0190","0.0529","0.0527","0.0520","1.5752","27.04","0"
"BucketWheel","18.30","-14.00","-22.165","-5.767","-6.361","0.0221","0.0819","0.0761","0.0756","1.5498","25.39","0"
"BucketWheel","19.40","-14.00","-16.824","-6.641","-64.932","0.0222","0.1136","0.1003","0.0999","1.5267","23.74","0"
"BucketWheel","20.50","-14.00","-239.808","-14.239","-235.652","0.0226","0.1319","0.1245","0.1242","1.5363","22.09","0"
"BucketWheel","21.60","-14.00","-39.782","-3.786","-43.241","0.0221","0.1517","0.1487","0.1485","1.5502","20.44","0"
"BucketWheel","22.70","-14.00","-14.613","-1.987","-26.112","0.0200","0.1458","0.1395","0.1394","1.5375","21.45","0"
"BucketWheel","23.80","-14.00","-64.921","-11.760","-72.104","0.0557","0.1584","0.1570","0.1569","1.5587","20.39","0"
"BucketWheel","24.90","-14.00","-16.090","-1.162","-19.141","0.0140","0.1375","0.1341","0.1341","1.5496","22.76","0"
"BucketWheel","26.00","-14.00","-119.336","-23.768","-99.451","0.0294","0.1398","0.1359","0.1359","1.5472","23.31","0"
"BucketWheel","27.10","-14.00","-65.984","-8.651","-72.495","0.0546","0.1400","0.1359","0.1359","1.5466","22.70","0"
"BucketWheel","28.20","-14.00","-228.637","-29.051","-203.898","0.0265","0.1433","0.1359","0.1359","1.5348","22.90","0"
"BucketWheel","29.30","-14.00","-28.796","-3.682","-49.756","0.0789","0.1364","0.1359","0.1359","1.5686","24.55","0"
"BucketWheel","30.40","-14.00","-153.407","-6.256","-27.792","0.0193","0.1361","0.1359","0.1359","1.5742","26.20","0"
"BucketWheel","31.50","-14.00","-82.937","1.026","-63.370","0.0034","0.1365","0.1356","0.1356","1.5643","27.85","0"
"BucketWheel","32.60","-14.00","-8.209","-0.310","2.986","0.0112","0.1357","0.1356","0.1356","1.5739","28.23","0"
"BucketWheel","33.70","-14.00","-68.112","4.296","-20.047","0.0523","0.1358","0.1356","0.1356","1.5720","28.80","0"
"BucketWheel","34.80","-14.00","-50.533","3.836","-6.727","0.0194","0.1357","0.1355","0.1355","1.5862","29.95","0"
"BucketWheel","35.90","-14.00","-14.890","-2.016","-7.054","0.0077","0.1353","0.1352","0.1352","1.5863","29.90","0"
"BucketWheel","37.00","-14.00","-6.040","-4.083","2.326","0.0008","0.1353","0.1352","0.1352","1.5748","28.25","0"
