"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","18.000000","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","20.800000","22.000000","0.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","24.400000","27.600000","7.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","24.800000","29.600000","9.200000","2.800000","2.800000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","24.000000","30.200000","11.200000","3.000000","3.400000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","28.200000","45.000001","13.000000","3.000000","3.600000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","20.400000","45.000001","14.800000","0.800000","4.200000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","31.600000","46.200001","15.600000","0.800000","4.200000","2.800000","0.000000","2.800000","2.800000","0"
"11.70","25.800000","49.600001","17.400000","0.400000","4.200000","3.000000","0.000000","3.000000","2.800000","0"
"12.80","6.400000","49.600001","18.600000","3.000000","7.400000","3.400000","0.000000","3.600000","3.200000","0"
"13.90","2.200000","49.600001","18.600000","3.600000","8.000000","3.600000","0.000000","3.600000","3.600000","0"
"15.00","11.200000","49.600001","18.600000","3.200000","8.000000","3.600000","0.000000","3.600000","3.600000","0"
"16.10","12.400000","53.200001","19.000000","0.400000","8.000000","5.400000","0.000000","5.800000","3.600000","0"
"17.20","3.400000","53.200001","19.000000","0.400000","8.400000","7.200000","0.000000","7.200000","7.200000","0"
"18.30","13.600000","53.200001","19.000000","0.600000","8.600000","7.200000","0.000000","7.200000","7.200000","0"
"19.40","17.400000","58.800001","20.200000","0.600000","8.600000","7.200000","0.000000","7.200000","7.200000","0"
"20.50","16.800000","59.000001","21.400000","0.000000","8.600000","7.400000","0.000000","7.400000","7.200000","0"
"21.60","14.800000","62.000001","22.800000","0.800000","9.400000","7.600000","0.000000","7.600000","7.600000","0"
"22.70","12.600000","63.000001","23.200000","1.600000","10.200000","7.600000","0.000000","7.600000","7.600000","0"
"23.80","20.000000","67.000001","25.400000","2.200000","11.000000","7.600000","0.000000","7.600000","7.600000","0"
"24.90","10.600000","67.000001","26.400000","1.600000","11.000000","7.800000","0.000000","7.800000","7.600000","0"
"26.00","20.000000","67.600001","27.000000","0.600000","11.400000","9.000000","0.000000","9.000000","9.000000","0"
"27.10","13.400000","68.200001","28.600000","0.200000","11.400000","9.400000","0.000000","9.400000","9.200000","0"
"28.20","23.800000","68.200001","31.200000","0.200000","11.400000","9.400000","0.000000","9.400000","9.400000","0"
"29.30","18.200000","70.200001","34.200001","0.200000","11.600000","9.600000","0.000000","9.600000","9.600000","0"
"30.40","21.600000","70.800001","35.000001","2.200000","13.600000","9.600000","0.000000","9.600000","9.600000","0"
"31.50","22.000000","70.800001","35.600001","2.000000","13.600000","9.600000","0.000000","9.600000","9.600000","0"
"32.60","16.600000","70.800001","36.400001","1.400000","13.600000","9.600000","0.000000","9.600000","9.600000","0"
"33.70","18.200000","70.800001","37.000001","0.000000","13.600000","10.800000","0.000000","11.200000","9.800000","0"
"34.80","13.200000","71.200001","37.000001","0.000000","13.600000","11.400000","0.000000","11.400000","11.200000","0"
"35.90","12.400000","71.600001","37.000001","0.600000","14.200000","11.400000","0.000000","11.400000","11.200000","0"
"37.00","9.800000","71.600001","37.000001","0.200000","14.200000","11.400000","0.000000","11.400000","11.200000","0"
