"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6680.000100","0.000000","0","0","0.000000","0.000"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"3.40","78.69","0.300","0.00","54.70","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","74.61","0.300","0.00","133.70","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"5.40","78.39","0.300","0.00","14.99","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000"
"6.40","77.82","0.293","7.38","12.85","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000"
"7.40","77.46","0.297","2.43","73.45","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.365"
"8.40","77.12","0.289","17.94","68.59","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"9.50","78.39","0.289","9.95","42.74","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.257"
"10.60","76.34","0.290","10.38","11.74","60000.000894","0.000000000","6988.200104","2.800000","0","0","0.000000","0.000"
"11.70","76.76","0.294","4.45","37.74","60000.000894","0.000000000","7068.800105","3.000000","0","0","0.000000","1.224"
"12.80","79.85","0.280","12.96","2.04","60000.000894","0.000000000","7175.000107","3.400000","0","0","0.000000","0.186"
"13.90","79.99","0.291","11.41","0.03","60000.000894","0.000000000","7496.200112","3.600000","0","0","0.000000","0.231"
"15.00","79.19","0.284","14.65","2.79","60000.000894","0.000000000","7590.000113","3.600000","0","0","0.200000","2.204"
"16.10","79.57","0.277","18.12","4.80","60000.000894","0.000000000","7988.600119","5.400000","0","0","0.000000","0.000"
"17.20","79.92","0.294","4.16","4.53","60000.000894","0.000000000","7366.800110","7.200000","0","0","0.000000","0.107"
"18.30","79.59","0.292","8.36","5.88","60000.000894","0.000000000","7705.800115","7.200000","0","0","0.000000","0.029"
"19.40","78.80","0.297","2.64","17.51","60000.000894","0.000000000","8530.200127","7.200000","0","0","0.000000","0.049"
"20.50","77.52","0.291","21.48","80.51","60000.000894","0.000000000","8947.400133","7.400000","0","0","0.000000","1.838"
"21.60","78.96","0.295","4.07","19.91","60000.000894","0.000000000","9595.800143","7.600000","0","0","0.000000","0.038"
"22.70","79.25","0.294","6.75","11.57","60000.000894","0.000000000","9339.800139","7.600000","0","0","0.000000","0.369"
"23.80","77.89","0.280","24.05","36.63","60000.000894","0.000000000","8948.800133","7.600000","0","0","0.000000","1.002"
"24.90","79.58","0.275","19.73","5.48","60000.000894","0.000000000","8732.600130","7.800000","0","0","0.000000","0.106"
"26.00","77.79","0.280","21.01","39.42","60000.000894","0.000000000","8238.600123","9.000000","0","0","0.000000","0.178"
"27.10","78.84","0.288","37.60","25.65","60000.000894","0.000000000","8749.600130","9.400000","0","0","0.000000","0.000"
"28.20","76.12","0.245","44.70","94.86","60000.000894","0.000000000","8338.600124","9.400000","0","0","0.000000","0.313"
"29.30","78.40","0.283","29.79","19.95","60000.000894","0.000000000","7506.000112","9.600000","0","0","0.000000","1.144"
"30.40","77.71","0.284","15.91","43.45","60000.000894","0.000000000","6757.400101","9.600000","0","0","0.000000","0.168"
"31.50","78.27","0.279","16.90","27.92","60000.000894","0.000000000","6726.600100","9.600000","0","0","0.000000","0.544"
"32.60","79.18","0.279","15.66","2.76","60000.000894","0.000000000","6627.200099","9.600000","0","0","0.000000","0.204"
"33.70","78.62","0.287","20.58","24.37","60000.000894","0.000000000","6491.400097","10.800000","0","0","0.000000","0.264"
"34.80","79.48","0.275","22.92","13.38","60000.000894","0.000000000","6230.400093","11.400000","0","0","0.000000","1.334"
"35.90","79.65","0.280","17.31","4.23","60000.000894","0.000000000","6344.400095","11.400000","0","0","0.000000","0.049"
"37.00","79.83","0.290","13.16","1.85","60000.000894","0.000000000","7076.200105","11.400000","0","0","0.000000","0.095"
