"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-44.412","-0.000","25.073","-44.412","-0.000","25.073","-1"
"-359.028","1.711","-112.431","-359.028","1.711","-112.431","-1"
"-157.460","-1.343","188.619","-157.460","-1.343","188.619","-1"
"-47.635","-5.396","-160.032","-47.635","-5.396","-160.032","-1"
"-192.540","0.372","25.019","-192.540","0.372","25.019","-1"
"-95.820","2.253","10.231","-95.820","2.253","10.231","-1"
"74.777","14.222","-85.457","74.777","14.222","-85.457","-1"
"-105.113","-23.219","173.933","-105.113","-23.219","173.933","-1"
"-287.927","-37.767","170.653","-287.927","-37.767","170.653","-1"
"-645.432","-9.854","270.216","-645.432","-9.854","270.216","-1"
"-209.012","13.991","24.553","-209.012","13.991","24.553","-1"
"-283.379","3.144","177.485","-283.379","3.144","177.485","-1"
"-25.018","26.181","6.029","-25.018","26.181","6.029","-1"
"-288.587","30.713","276.240","-288.587","30.713","276.240","-1"
"-307.582","-3.033","63.935","-307.582","-3.033","63.935","-1"
"-65.757","1.111","-100.603","-65.757","1.111","-100.603","-1"
"-154.326","-25.744","155.043","-154.326","-25.744","155.043","-1"
