"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","573.151","0.0000"
"2.300","2.317","1.000","-0.001","580.206","0.0000"
"3.400","3.417","1.000","-269.892","591.106","0.0000"
"4.400","4.417","1.000","-458.380","647.592","0.0000"
"5.400","5.417","1.000","-204.235","656.547","0.0000"
"6.400","6.417","1.000","-212.321","728.355","0.0000"
"7.400","7.417","1.000","-405.298","464.205","0.0000"
"8.400","8.417","1.000","-411.977","723.028","0.0000"
"9.500","9.517","1.000","-36.244","690.257","0.0300"
"10.600","10.617","1.000","-170.264","553.094","0.0300"
"11.700","11.717","1.000","-252.989","668.549","0.0300"
"12.800","12.817","1.000","-106.236","584.045","0.0300"
"13.900","13.917","1.000","-57.138","596.928","0.0300"
"15.000","15.017","1.000","-14.599","558.738","0.0300"
"16.100","16.117","1.000","-6.948","617.039","0.0300"
"17.200","17.217","1.000","-54.652","507.597","0.0300"
"18.300","18.317","1.000","-283.155","333.870","0.0300"
"19.400","19.417","1.000","-263.648","453.254","0.0300"
"20.500","20.517","1.000","-199.273","381.567","0.0300"
"21.600","21.617","1.000","-314.872","428.947","0.0300"
"22.700","22.717","1.000","-126.220","437.537","0.0300"
"23.800","23.817","1.000","-245.637","551.445","0.0300"
"24.900","24.917","1.000","-139.681","307.803","0.0300"
"26.000","26.017","1.000","-183.599","371.024","0.0000"
"27.100","27.117","1.000","-609.795","595.180","0.0000"
"28.200","28.217","1.000","128.866","502.416","0.0000"
"29.300","29.317","1.000","-431.369","600.677","0.0000"
"30.400","30.417","1.000","-160.800","480.648","0.0000"
"31.500","31.517","1.000","-243.842","639.476","0.0000"
"32.600","32.617","1.000","-97.464","548.538","0.0000"
"33.700","33.717","1.000","-118.848","591.967","0.0000"
"34.800","34.817","1.000","-79.407","548.904","0.0000"
"35.900","35.917","1.000","-103.322","475.572","0.0000"
"37.000","37.017","1.000","-10.323","478.371","0.0000"
