"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0146","0.0087","0.0000","-0.0000","1.5713","29.50","0"
"BucketWheel","2.30","-14.00","-0.001","-0.000","0.003","0.0074","0.0001","0.0000","-0.0000","1.5799","26.75","0"
"BucketWheel","3.40","-14.00","-269.892","0.006","31.697","0.0020","0.0032","0.0000","-0.0000","1.5768","24.00","0"
"BucketWheel","4.40","-14.00","-458.380","-0.022","-352.357","0.0111","0.0058","0.0040","-0.0040","1.5759","21.50","0"
"BucketWheel","5.40","-14.00","-204.235","-0.004","-37.706","0.0038","0.0042","0.0040","-0.0040","1.5810","19.00","0"
"BucketWheel","6.40","-14.00","-212.321","6.510","-306.025","0.0633","0.0144","0.0139","-0.0139","1.5761","16.50","0"
"BucketWheel","7.40","-14.00","-405.298","14.056","-93.247","0.0017","0.0145","0.0145","-0.0145","1.5807","16.00","0"
"BucketWheel","8.40","-14.00","-411.181","4.509","-750.380","0.0173","0.0146","0.0145","-0.0145","1.5813","16.00","0"
"BucketWheel","9.50","-14.00","-35.921","-2.726","-18.726","0.0225","0.0113","0.0109","-0.0109","1.5831","16.00","0"
"BucketWheel","10.60","-14.00","-171.110","-2.104","24.808","0.0229","0.0143","0.0129","0.0129","1.5861","16.00","0"
"BucketWheel","11.70","-14.00","-253.357","-6.891","22.260","0.0240","0.0372","0.0372","0.0372","1.5806","16.00","0"
"BucketWheel","12.80","-14.00","-105.475","-4.995","-33.019","0.0110","0.0564","0.0563","0.0563","1.5830","16.00","0"
"BucketWheel","13.90","-14.00","-54.618","-6.978","-46.355","0.0245","0.0770","0.0766","0.0766","1.5873","16.00","0"
"BucketWheel","15.00","-14.00","-13.284","-3.469","-20.194","0.0223","0.1013","0.1009","0.1009","1.5889","16.00","0"
"BucketWheel","16.10","-14.00","-6.952","0.145","-0.313","0.2263","0.0608","0.0533","0.0526","1.6092","16.00","0"
"BucketWheel","17.20","-14.00","-59.918","17.460","40.957","0.0197","0.1034","0.1018","-0.0996","1.5618","16.00","0"
"BucketWheel","18.30","-14.00","-286.540","-9.890","37.050","0.0225","0.0815","0.0800","-0.0769","1.5644","16.00","0"
"BucketWheel","19.40","-14.00","-266.678","-95.898","119.225","0.0313","0.0889","0.0874","-0.0846","1.5639","16.00","0"
"BucketWheel","20.50","-14.00","-200.392","-65.877","46.277","0.0079","0.0914","0.0901","-0.0868","1.5643","16.00","0"
"BucketWheel","21.60","-14.00","-315.453","-32.536","104.202","0.0247","0.0927","0.0914","-0.0878","1.5644","16.00","0"
"BucketWheel","22.70","-14.00","-126.704","-28.425","-30.422","0.0167","0.0894","0.0887","-0.0848","1.5692","16.00","0"
"BucketWheel","23.80","-14.00","-245.889","-13.574","-205.118","0.0407","0.0772","0.0772","-0.0727","1.5810","16.00","0"
"BucketWheel","24.90","-14.00","-139.897","-11.891","22.950","0.0275","0.0565","0.0565","-0.0500","1.5819","16.00","0"
"BucketWheel","26.00","-14.00","-183.747","-7.738","-189.591","0.0278","0.0573","0.0572","-0.0508","1.5811","16.00","0"
"BucketWheel","27.10","-14.00","-610.092","-13.827","-527.310","0.0098","0.0717","0.0715","-0.0666","1.5747","16.00","0"
"BucketWheel","28.20","-14.00","128.647","-14.816","-308.195","0.0303","0.0716","0.0715","-0.0666","1.5780","16.00","0"
"BucketWheel","29.30","-14.00","-431.831","-24.799","-181.051","0.0133","0.0718","0.0715","-0.0666","1.5745","16.00","0"
"BucketWheel","30.40","-14.00","-161.146","-19.683","-22.775","0.0052","0.0721","0.0715","-0.0666","1.5710","16.00","0"
"BucketWheel","31.50","-14.00","-244.164","-18.010","-315.060","0.0055","0.0760","0.0742","-0.0696","1.5635","16.00","0"
"BucketWheel","32.60","-14.00","-97.830","-19.306","-97.947","0.0033","0.0760","0.0742","-0.0696","1.5637","16.00","0"
"BucketWheel","33.70","-14.00","-119.140","-16.512","-147.153","0.0174","0.0748","0.0742","-0.0696","1.5704","16.00","0"
"BucketWheel","34.80","-14.00","-79.549","-8.079","-6.718","0.0134","0.0746","0.0742","-0.0696","1.5724","16.00","0"
"BucketWheel","35.90","-14.00","-103.556","-13.403","-24.847","0.0027","0.0745","0.0742","-0.0696","1.5728","16.00","0"
"BucketWheel","37.00","-14.00","-9.095","-20.917","-120.356","0.0106","0.0755","0.0742","-0.0696","1.5658","16.00","0"
