"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","2.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","14.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","22.400000","24.000000","2.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","30.000000","33.200000","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","43.200001","48.200001","16.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","39.600001","50.200001","20.600000","2.400000","3.200000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","40.000001","51.400001","22.000000","2.000000","3.200000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","26.800000","51.400001","22.800000","2.400000","3.200000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","24.600000","53.800001","24.200000","2.800000","3.600000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","28.400000","55.000001","24.400000","3.800000","4.600000","0.000000","0.000000","0.000000","0.000000","0"
"12.80","27.600000","58.600001","26.800000","3.000000","4.600000","0.000000","0.000000","0.000000","0.000000","0"
"13.90","11.600000","59.000001","27.800000","2.400000","4.600000","0.000000","0.000000","0.000000","0.000000","0"
"15.00","11.600000","61.000001","27.800000","2.000000","4.600000","0.000000","0.000000","0.000000","0.000000","0"
"16.10","2.600000","62.200001","27.800000","1.400000","4.600000","0.000000","0.000000","0.000000","0.000000","0"
"17.20","6.600000","64.200001","27.800000","2.000000","4.600000","0.000000","0.000000","0.000000","0.000000","0"
"18.30","18.200000","67.000001","27.800000","2.400000","5.000000","0.000000","0.000000","0.000000","0.000000","0"
"19.40","30.400000","79.000001","28.400000","2.800000","5.400000","0.000000","0.000000","0.000000","0.000000","0"
"20.50","31.000000","85.400001","34.000001","2.600000","6.400000","0.000000","0.000000","0.000000","0.000000","0"
"21.60","30.600000","87.600001","35.200001","2.200000","6.400000","0.000000","0.000000","0.000000","0.000000","0"
"22.70","27.000000","88.400001","37.800001","2.200000","6.400000","0.000000","0.000000","0.000000","0.000000","0"
"23.80","22.600000","88.800001","41.400001","2.200000","6.400000","0.000000","0.000000","0.000000","0.000000","0"
"24.90","24.800000","89.000001","43.800001","2.200000","6.400000","0.000000","0.200000","0.000000","0.000000","0"
"26.00","26.200000","89.200001","44.800001","2.200000","6.400000","0.000000","0.200000","0.000000","0.000000","0"
"27.10","26.200000","89.600001","47.000001","2.200000","6.400000","0.000000","0.200000","0.000000","0.000000","0"
"28.20","19.800000","90.600001","48.600001","2.200000","6.400000","0.000000","0.200000","0.000000","0.000000","0"
"29.30","19.400000","91.800001","49.200001","2.600000","6.800000","0.000000","0.200000","0.000000","0.000000","0"
"30.40","23.600000","93.600001","49.600001","2.800000","7.000000","0.000000","0.200000","0.000000","0.000000","0"
"31.50","29.800000","96.200001","51.200001","2.600000","7.000000","0.000000","0.200000","0.000000","0.000000","0"
"32.60","30.800000","97.200001","52.600001","2.600000","7.000000","0.000000","0.200000","0.000000","0.000000","0"
"33.70","27.400000","97.200001","54.800001","2.600000","7.000000","0.000000","0.200000","0.000000","0.000000","0"
"34.80","21.000000","97.800001","55.800001","2.600000","7.000000","0.000000","0.200000","0.000000","0.000000","0"
"35.90","19.800000","98.400001","56.800001","3.200000","7.600000","0.000000","0.200000","0.000000","0.000000","0"
"37.00","19.400000","99.200001","57.400001","3.600000","7.800000","0.000000","0.200000","0.000000","0.000000","0"
