"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.000","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.20","80.00","0.000","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"2.30","80.00","0.000","0.00","0.00","60000.000894","0.000000000","6739.600100","0.000000","0","0","0.000000","0.000"
"3.40","78.83","0.000","0.00","65.54","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","74.66","0.000","0.00","144.13","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.652"
"5.40","76.17","0.000","0.00","65.79","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000"
"6.40","72.89","0.000","0.00","107.68","60000.000894","0.000000000","6880.000103","0.000000","0","0","0.000000","0.092"
"7.40","74.77","0.000","-2.99","121.17","60000.000894","0.000000000","6810.800101","0.000000","0","0","0.000000","0.564"
"8.40","75.29","-0.000","4.70","233.31","60000.000894","0.000000000","6883.000103","0.000000","0","0","0.000000","0.000"
"9.50","78.35","0.000","-1.23","10.08","60000.000894","0.000000000","7080.000106","0.000000","0","0","0.000000","0.000"
"10.60","77.87","0.000","-6.95","72.54","60000.000894","0.000000000","7520.000112","0.000000","0","0","0.000000","0.963"
"11.70","76.38","-0.000","16.10","59.84","60000.000894","0.000000000","7640.000114","0.000000","0","0","0.000000","0.285"
"12.80","77.42","-0.000","0.80","31.59","60000.000894","0.000000000","7960.000119","0.000000","0","0","0.000000","0.000"
"13.90","79.51","0.000","-13.62","15.69","60000.000894","0.000000000","8607.800128","0.000000","0","0","0.000000","1.001"
"15.00","79.40","0.000","-10.01","4.81","60000.000894","0.000000000","9003.200134","0.000000","0","0","0.000000","0.609"
"16.10","79.88","0.000","-3.12","0.43","60000.000894","0.000000000","8801.000131","0.000000","0","0","0.200000","3.399"
"17.20","78.95","-0.000","144.82","17.72","60000.000894","0.000000000","7291.400109","0.000000","0","0","0.000000","0.000"
"18.30","77.10","0.000","-3.81","77.16","60000.000894","0.000000000","6948.200104","0.000000","0","0","0.000000","0.228"
"19.40","73.69","0.000","-21.65","97.83","60000.000894","0.000000000","6181.400092","0.000000","0","0","0.000000","1.144"
"20.50","75.15","-0.000","22.62","62.33","60000.000894","0.000000000","6008.600090","0.000000","0","0","0.000000","0.006"
"21.60","75.56","-0.000","7.34","103.90","60000.000894","0.000000000","5996.800089","0.000000","0","0","0.000000","0.340"
"22.70","75.40","0.000","-3.56","58.76","60000.000894","0.000000000","6015.600090","0.000000","0","0","0.000000","1.478"
"23.80","75.79","0.000","-56.22","94.27","60000.000894","0.000000000","6128.400091","0.000000","0","0","0.000000","0.511"
"24.90","76.66","0.000","-39.63","68.01","60000.000894","0.000000000","6400.400095","0.000000","0","0","0.000000","0.547"
"26.00","75.08","0.000","-35.79","134.59","60000.000894","0.000000000","6392.400095","0.000000","0","0","0.000000","0.587"
"27.10","72.07","0.000","-22.63","219.00","60000.000894","0.000000000","6217.400093","0.000000","0","0","0.000000","0.598"
"28.20","74.96","0.000","-3.76","136.96","60000.000894","0.000000000","6206.800092","0.000000","0","0","0.000000","1.013"
"29.30","75.07","0.000","-16.76","121.80","60000.000894","0.000000000","6218.400093","0.000000","0","0","0.000000","0.880"
"30.40","76.13","0.000","-15.79","48.59","60000.000894","0.000000000","6229.800093","0.000000","0","0","0.000000","0.736"
"31.50","75.45","-0.000","18.95","111.13","60000.000894","0.000000000","6216.200093","0.000000","0","0","0.000000","0.747"
"32.60","76.60","-0.000","31.76","46.38","60000.000894","0.000000000","6210.200093","0.000000","0","0","0.000000","1.066"
"33.70","76.06","0.000","-8.17","71.79","60000.000894","0.000000000","6193.400092","0.000000","0","0","0.000000","1.054"
"34.80","76.37","0.000","-46.47","44.34","60000.000894","0.000000000","6191.200092","0.000000","0","0","0.000000","1.439"
"35.90","76.29","0.000","-59.70","44.94","60000.000894","0.000000000","6186.400092","0.000000","0","0","0.000000","0.736"
"37.00","77.41","0.000","-84.38","45.66","60000.000894","0.000000000","6373.800095","0.000000","0","0","0.000000","1.178"
