"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-44.410","-0.000","25.074","-44.410","-0.000","25.074","-1"
"-359.030","1.711","-112.438","-359.030","1.711","-112.438","-1"
"-24.128","-4.015","-146.470","-24.128","-4.015","-146.470","-1"
"-98.847","-6.825","-240.262","-98.847","-6.825","-240.262","-1"
"-233.524","5.265","387.743","-233.524","5.265","387.743","-1"
"-90.127","-23.306","412.976","-90.127","-23.306","412.976","-1"
"-236.549","1.265","159.573","-236.549","1.265","159.573","-1"
"-33.685","-2.051","-117.782","-33.685","-2.051","-117.782","-1"
"-145.206","-55.993","138.131","-145.206","-55.993","138.131","-1"
"-14.302","-20.124","-56.291","-14.302","-20.124","-56.291","-1"
"-40.019","-17.961","-39.562","-40.019","-17.961","-39.562","-1"
"-118.657","-28.986","12.824","-118.657","-28.986","12.824","-1"
"-5.721","-3.746","-79.087","-5.721","-3.746","-79.087","-1"
"1.709","2.748","-93.411","1.709","2.748","-93.411","-1"
"1.282","-0.966","-63.602","1.282","-0.966","-63.602","-1"
"-58.008","-4.009","-7.225","-58.008","-4.009","-7.225","-1"
"-233.804","56.801","60.046","-233.804","56.801","60.046","-1"
