"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","573.150","0.0000"
"2.300","2.317","1.000","-0.001","580.207","0.0000"
"3.400","3.417","1.000","-269.894","591.106","0.0000"
"4.400","4.417","1.000","-458.384","647.590","0.0000"
"5.400","5.417","1.000","-204.237","656.548","0.0000"
"6.400","6.417","1.000","-204.146","728.880","0.0000"
"7.400","7.417","1.000","-316.581","460.541","0.0000"
"8.400","8.417","1.000","-12.098","654.773","0.0000"
"9.500","9.517","1.000","-85.003","647.185","0.0300"
"10.600","10.617","1.000","44.599","634.967","0.0300"
"11.700","11.717","1.000","-313.506","489.550","0.0300"
"12.800","12.817","1.000","-328.010","528.110","0.0300"
"13.900","13.917","1.000","-63.591","387.203","0.0300"
"15.000","15.017","1.000","-219.684","427.637","0.0300"
"16.100","16.117","1.000","-42.100","577.963","0.0300"
"17.200","17.217","1.000","-34.617","684.485","0.0300"
"18.300","18.317","1.000","-88.855","528.580","0.0300"
"19.400","19.417","1.000","-23.135","488.583","0.0300"
"20.500","20.517","1.000","-83.444","521.935","0.0300"
"21.600","21.617","1.000","-0.281","643.955","0.0300"
"22.700","22.717","1.000","-12.374","608.310","0.0300"
"23.800","23.817","1.000","-27.586","600.661","0.0300"
"24.900","24.917","1.000","-75.175","582.821","0.0300"
"26.000","26.017","1.000","-87.210","560.874","0.0000"
"27.100","27.117","1.000","-8.727","623.352","0.0000"
"28.200","28.217","1.000","-3.672","656.909","0.0000"
"29.300","29.317","1.000","0.002","608.420","0.0000"
"30.400","30.417","1.000","0.000","631.828","0.0000"
"31.500","31.517","1.000","0.000","628.530","0.0000"
"32.600","32.617","1.000","-0.047","622.439","0.0000"
"33.700","33.717","1.000","-21.149","593.395","0.0000"
"34.800","34.817","1.000","-127.115","649.526","0.0000"
"35.900","35.917","1.000","-516.782","573.788","0.0000"
"37.000","37.017","1.000","-76.119","466.655","0.0000"
