"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0146","0.0087","0.0000","0.0000","1.5713","29.50","0"
"BucketWheel","2.30","-14.00","-0.001","-0.000","0.003","0.0074","0.0001","0.0000","0.0000","1.5799","26.75","0"
"BucketWheel","3.40","-14.00","-269.894","0.006","31.696","0.0020","0.0032","0.0000","-0.0000","1.5768","24.00","0"
"BucketWheel","4.40","-14.00","-458.384","-0.022","-352.365","0.0111","0.0058","0.0040","-0.0040","1.5759","21.50","0"
"BucketWheel","5.40","-14.00","-204.237","-0.004","-37.710","0.0038","0.0042","0.0040","-0.0040","1.5810","19.00","0"
"BucketWheel","6.40","-14.00","-204.146","6.462","-309.681","0.0595","0.0144","0.0139","-0.0139","1.5761","16.50","0"
"BucketWheel","7.40","-14.00","-316.581","12.313","-34.087","0.0035","0.0141","0.0141","-0.0141","1.5806","16.00","0"
"BucketWheel","8.40","-14.00","-11.491","1.075","-20.574","0.0401","0.0253","0.0144","-0.0144","1.6009","16.00","0"
"BucketWheel","9.50","-14.00","-76.166","0.360","-280.867","0.0209","0.0083","0.0069","-0.0069","1.5845","16.00","0"
"BucketWheel","10.60","-14.00","50.475","-4.390","-365.399","0.0221","0.0172","0.0172","0.0172","1.5784","16.00","0"
"BucketWheel","11.70","-14.00","-313.472","-13.760","-157.871","0.0258","0.0320","0.0320","0.0320","1.5784","16.00","0"
"BucketWheel","12.80","-14.00","-328.010","-4.464","-0.634","0.0590","0.0358","0.0358","0.0358","1.5804","16.00","0"
"BucketWheel","13.90","-14.00","-63.584","4.035","-272.627","0.0222","0.0875","0.0875","-0.0875","1.5803","16.00","0"
"BucketWheel","15.00","-14.00","-219.687","-21.218","130.957","0.0392","0.0666","0.0665","-0.0665","1.5761","16.00","0"
"BucketWheel","16.10","-14.00","-42.772","-1.566","27.216","0.0546","0.1337","0.1335","-0.1335","1.5861","16.00","0"
"BucketWheel","17.20","-14.00","-33.881","-15.435","-15.112","0.0246","0.1210","0.1210","-0.1209","1.5833","16.00","0"
"BucketWheel","18.30","-14.00","-89.100","-9.207","5.437","0.0223","0.0980","0.0967","-0.0966","1.5961","16.00","0"
"BucketWheel","19.40","-14.00","-23.479","1.494","8.617","0.0238","0.0729","0.0724","-0.0723","1.5884","16.00","0"
"BucketWheel","20.50","-14.00","-83.339","-14.207","-14.114","0.0221","0.0493","0.0482","-0.0480","1.5905","16.00","0"
"BucketWheel","21.60","-14.00","0.643","-8.236","-17.141","0.0238","0.0261","0.0240","-0.0237","1.5904","16.00","0"
"BucketWheel","22.70","-14.00","-12.023","0.016","-5.050","0.0221","0.0109","0.0033","0.0005","1.5904","16.00","0"
"BucketWheel","23.80","-14.00","-27.235","0.094","-5.842","0.0231","0.0262","0.0251","0.0248","1.5877","16.00","0"
"BucketWheel","24.90","-14.00","-71.897","-16.727","-49.600","0.0221","0.0499","0.0493","0.0491","1.5881","16.00","0"
"BucketWheel","26.00","-14.00","-82.978","-5.539","-60.183","0.0031","0.0524","0.0518","0.0517","1.5876","16.00","0"
"BucketWheel","27.10","-14.00","-6.155","-1.444","-26.231","0.0149","0.0537","0.0518","0.0517","1.5940","16.00","0"
"BucketWheel","28.20","-14.00","1.865","0.158","-35.969","0.0175","0.0561","0.0518","0.0517","1.6015","16.00","0"
"BucketWheel","29.30","-14.00","0.001","-0.001","0.002","0.0370","0.0582","0.0518","0.0517","1.6065","16.00","0"
"BucketWheel","30.40","-14.00","-0.000","-0.000","-0.000","0.0055","0.0557","0.0518","0.0517","1.6004","16.00","0"
"BucketWheel","31.50","-14.00","-0.000","-0.000","-0.000","0.0023","0.0567","0.0518","0.0517","1.6031","16.00","0"
"BucketWheel","32.60","-14.00","-0.043","0.001","-0.036","0.0028","0.0553","0.0518","0.0517","1.5993","16.00","0"
"BucketWheel","33.70","-14.00","-20.516","1.534","-7.812","0.0122","0.0519","0.0518","0.0517","1.5826","16.00","0"
"BucketWheel","34.80","-14.00","-124.940","21.146","-56.981","0.0088","0.0519","0.0518","0.0517","1.5821","16.00","0"
"BucketWheel","35.90","-14.00","-515.211","63.354","-262.114","0.0027","0.0455","0.0455","0.0454","1.5817","16.00","0"
"BucketWheel","37.00","-14.00","-74.925","48.985","-327.849","0.0163","0.0454","0.0453","0.0452","1.5781","16.00","0"
