"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","2.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","14.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","22.400000","24.000000","2.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","30.000000","33.200000","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","43.200001","48.200001","16.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","39.600001","50.200001","20.400000","3.200000","4.800000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","24.400000","50.200001","21.200000","3.400000","5.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","32.800000","50.600001","21.200000","3.000000","5.400000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","40.000001","54.200001","22.000000","0.600000","5.400000","3.200000","0.000000","3.200000","3.200000","0"
"11.70","35.600001","54.600001","24.400000","0.000000","5.400000","3.200000","0.000000","3.400000","3.200000","0"
"12.80","36.000001","56.600001","28.400000","1.200000","6.800000","3.800000","0.000000","3.800000","3.800000","0"
"13.90","35.600001","67.200001","29.000000","1.200000","6.800000","3.800000","0.000000","3.800000","3.800000","0"
"15.00","29.400000","67.800001","31.200000","2.400000","8.000000","3.800000","0.000000","3.800000","3.800000","0"
"16.10","18.800000","68.200001","32.000000","5.400000","13.200000","5.000000","0.000000","5.000000","3.800000","0"
"17.20","11.000000","68.600001","32.000000","5.400000","13.400000","5.000000","0.000000","5.000000","5.000000","0"
"18.30","13.200000","68.600001","32.000000","4.200000","13.400000","5.000000","0.000000","5.000000","5.000000","0"
"19.40","13.000000","68.800001","32.000000","0.400000","13.600000","8.000000","0.000000","8.200000","6.600000","0"
"20.50","19.000000","68.800001","32.200000","0.400000","14.000000","9.400000","0.000000","9.800000","9.200000","0"
"21.60","12.600000","68.800001","32.400000","0.400000","14.000000","9.600000","0.200000","9.800000","9.600000","0"
"22.70","8.200000","68.800001","32.400000","0.200000","14.400000","9.600000","0.200000","9.800000","9.600000","0"
"23.80","12.600000","69.200001","32.400000","0.000000","14.400000","10.000000","0.400000","10.400000","10.000000","0"
"24.90","14.800000","70.000001","32.800000","0.600000","15.000000","10.000000","0.400000","10.400000","10.400000","0"
"26.00","13.400000","70.200001","33.600001","0.800000","15.200000","10.000000","0.400000","10.400000","10.400000","0"
"27.10","9.200000","70.200001","33.800001","0.800000","15.200000","10.000000","0.400000","10.400000","10.400000","0"
"28.20","3.400000","70.200001","33.800001","0.200000","15.200000","10.000000","0.400000","10.400000","10.400000","0"
"29.30","1.200000","70.200001","33.800001","0.000000","15.200000","10.800000","0.400000","11.200000","11.000000","0"
"30.40","0.600000","70.200001","33.800001","0.000000","15.200000","10.800000","0.400000","11.200000","11.200000","0"
"31.50","1.200000","70.200001","33.800001","0.000000","15.200000","10.800000","0.400000","11.200000","11.200000","0"
"32.60","2.600000","70.400001","33.800001","0.000000","15.200000","10.800000","0.400000","11.200000","11.200000","0"
"33.70","10.200000","70.600001","33.800001","0.000000","15.200000","10.800000","0.400000","11.200000","11.200000","0"
"34.80","23.400000","71.400001","33.800001","0.000000","15.200000","10.800000","0.400000","11.200000","11.200000","0"
"35.90","24.800000","71.400001","36.400001","0.000000","15.200000","10.800000","0.800000","11.200000","11.200000","0"
"37.00","23.400000","71.600001","42.600001","0.800000","16.000000","10.800000","0.800000","11.200000","11.200000","0"
