"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6739.600100","0.000000","0","0","0.000000","0.000"
"3.40","78.83","0.300","0.00","65.54","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","74.66","0.300","0.00","144.13","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.652"
"5.40","76.17","0.300","0.00","65.79","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000"
"6.40","72.83","0.300","0.06","104.42","60000.000894","0.000000000","6881.400103","0.000000","0","0","0.000000","0.184"
"7.40","74.49","0.283","15.66","97.40","60000.000894","0.000000000","6887.000103","0.000000","0","0","0.000000","0.000"
"8.40","78.68","0.285","18.00","5.79","60000.000894","0.000000000","7140.000106","0.000000","0","0","0.000000","0.342"
"9.50","78.29","0.290","11.55","71.48","60000.000894","0.000000000","7280.000108","0.000000","0","0","0.000000","0.222"
"10.60","75.49","0.284","14.99","112.46","60000.000894","0.000000000","7405.000110","3.200000","0","0","0.000000","1.775"
"11.70","75.12","0.254","42.99","105.70","60000.000894","0.000000000","7363.200110","3.200000","0","0","0.000000","0.644"
"12.80","75.02","0.288","9.88","97.73","60000.000894","0.000000000","7453.000111","3.800000","0","0","0.000000","1.007"
"13.90","71.77","0.283","12.40","127.39","60000.000894","0.000000000","6002.000089","3.800000","0","0","0.000000","0.837"
"15.00","73.78","0.270","28.79","125.85","60000.000894","0.000000000","6162.400092","3.800000","0","0","0.000000","1.000"
"16.10","77.08","0.271","20.78","27.77","60000.000894","0.000000000","5669.200084","5.000000","0","0","0.000000","0.966"
"17.20","79.29","0.259","28.81","10.38","60000.000894","0.000000000","6234.400093","5.000000","0","0","0.000000","1.003"
"18.30","78.89","0.247","33.77","24.27","60000.000894","0.000000000","6167.600092","5.000000","0","0","0.000000","1.000"
"19.40","79.49","0.276","20.12","7.71","60000.000894","0.000000000","6599.000098","8.000000","0","0","0.000000","1.000"
"20.50","78.24","0.275","26.74","33.60","60000.000894","0.000000000","6559.800098","9.400000","0","0","0.000000","0.669"
"21.60","79.46","0.286","6.61","5.21","60000.000894","0.000000000","7388.800110","9.600000","0","0","0.000000","1.001"
"22.70","79.61","0.284","16.37","3.49","60000.000894","0.000000000","7930.800118","9.600000","0","0","0.000000","0.000"
"23.80","79.44","0.290","4.24","5.03","60000.000894","0.000000000","8169.600122","10.000000","0","0","0.000000","0.091"
"24.90","78.95","0.275","11.19","21.01","60000.000894","0.000000000","8407.000125","10.000000","0","0","0.000000","1.195"
"26.00","79.09","0.287","13.04","23.47","60000.000894","0.000000000","8510.200127","10.000000","0","0","0.000000","0.722"
"27.10","79.53","0.292","8.39","8.19","60000.000894","0.000000000","8790.400131","10.000000","0","0","0.000000","0.178"
"28.20","79.83","0.265","17.70","8.15","60000.000894","0.000000000","9403.000140","10.000000","0","0","0.000000","0.808"
"29.30","80.00","0.286","12.02","0.00","60000.000894","0.000000000","9576.200143","10.800000","0","0","0.000000","0.000"
"30.40","80.00","0.291","2.73","0.00","60000.000894","0.000000000","9765.400146","10.800000","0","0","0.000000","0.000"
"31.50","80.00","0.261","36.22","0.00","60000.000894","0.000000000","9403.200140","10.800000","0","0","0.000000","0.000"
"32.60","80.00","0.289","8.82","0.01","60000.000894","0.000000000","9116.200136","10.800000","0","0","0.000000","0.000"
"33.70","79.85","0.284","15.95","5.44","60000.000894","0.000000000","8678.600129","10.800000","0","0","0.000000","0.069"
"34.80","77.24","0.275","17.71","38.87","60000.000894","0.000000000","8003.800119","10.800000","0","0","0.000000","0.634"
"35.90","74.50","0.291","8.14","153.87","60000.000894","0.000000000","7552.800113","10.800000","0","0","0.000000","0.565"
"37.00","75.61","0.291","8.84","107.93","60000.000894","0.000000000","7553.600113","10.800000","0","0","0.000000","0.171"
