"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-44.421","-0.003","25.053","-44.421","-0.003","25.053","-1"
"-360.720","-1.620","-123.185","-360.720","-1.620","-123.185","-1"
"-32.339","11.922","-215.521","-32.339","11.922","-215.521","-1"
"-436.733","-24.076","121.068","-436.733","-24.076","121.068","-1"
"-249.844","-88.794","-151.376","-249.844","-88.794","-151.376","-1"
"-262.016","-93.547","-103.268","-262.016","-93.547","-103.268","-1"
"34.873","-33.718","-83.358","34.873","-33.718","-83.358","-1"
"-14.805","3.151","-9.729","-14.805","3.151","-9.729","-1"
"-249.067","-17.396","-22.390","-249.067","-17.396","-22.390","-1"
"-358.423","-1.325","16.733","-358.423","-1.325","16.733","-1"
"-117.093","-24.354","408.663","-117.093","-24.354","408.663","-1"
"-209.661","-45.952","131.366","-209.661","-45.952","131.366","-1"
"-74.745","-8.596","-195.629","-74.745","-8.596","-195.629","-1"
"-562.763","47.310","-128.899","-562.763","47.310","-128.899","-1"
"-482.273","92.045","7.376","-482.273","92.045","7.376","-1"
"57.898","69.556","544.824","57.898","69.556","544.824","-1"
"-111.471","25.553","-96.857","-111.471","25.553","-96.857","-1"
