"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","573.151","0.0000"
"2.300","2.317","1.000","-0.001","580.207","0.0000"
"3.400","3.417","1.000","-269.892","591.104","0.0000"
"4.400","4.417","1.000","-461.515","650.016","0.0000"
"5.400","5.417","1.000","-93.868","576.367","0.0000"
"6.400","6.417","1.000","-109.876","683.079","0.0000"
"7.400","7.417","1.000","-313.249","586.132","0.0000"
"8.400","8.417","1.000","83.795","669.601","0.0000"
"9.500","9.517","1.000","293.455","786.375","0.0300"
"10.600","10.617","1.000","-312.705","625.891","0.0300"
"11.700","11.717","1.000","-498.192","679.788","0.0300"
"12.800","12.817","1.000","-191.524","544.663","0.0300"
"13.900","13.917","1.000","-116.166","614.609","0.0300"
"15.000","15.017","1.000","-92.267","597.583","0.0300"
"16.100","16.117","1.000","-7.536","658.349","0.0300"
"17.200","17.217","1.000","-7.368","602.045","0.0300"
"18.300","18.317","1.000","-1.871","605.928","0.0300"
"19.400","19.417","1.000","-10.894","710.716","0.0300"
"20.500","20.517","1.000","-50.028","609.676","0.0300"
"21.600","21.617","1.000","-149.256","619.234","0.0300"
"22.700","22.717","1.000","-278.186","503.996","0.0300"
"23.800","23.817","1.000","-133.259","367.133","0.0300"
"24.900","24.917","1.000","-189.335","416.769","0.0300"
"26.000","26.017","1.000","-334.300","521.685","0.0000"
"27.100","27.117","1.000","-149.489","548.753","0.0000"
"28.200","28.217","1.000","-64.775","667.120","0.0000"
"29.300","29.317","1.000","-336.253","546.653","0.0000"
"30.400","30.417","1.000","-255.121","821.787","0.0000"
"31.500","31.517","1.000","-505.260","753.132","0.0000"
"32.600","32.617","1.000","-268.478","274.022","0.0000"
"33.700","33.717","1.000","-474.465","296.360","0.0000"
"34.800","34.817","1.000","-417.787","503.482","0.0000"
"35.900","35.917","1.000","-193.178","636.107","0.0000"
"37.000","37.017","1.000","-430.573","465.645","0.0000"
