"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","2.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","14.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","22.400000","24.000000","2.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","31.200000","34.000001","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","41.600001","46.400001","15.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","38.600001","50.000001","18.400000","4.000000","4.800000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","34.000001","50.400001","20.800000","3.800000","5.200000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","22.000000","56.000001","21.200000","3.400000","5.400000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","34.000001","61.800001","28.400000","1.800000","6.800000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","25.200000","61.800001","30.600000","2.600000","8.200000","3.400000","0.000000","3.400000","0.000000","0"
"12.80","25.800000","63.400001","33.200000","6.200000","11.800000","3.400000","0.000000","3.400000","3.400000","0"
"13.90","25.000000","65.600001","36.000001","6.200000","12.800000","3.400000","0.000000","3.400000","3.400000","0"
"15.00","13.600000","66.800001","37.000001","4.600000","13.400000","5.000000","0.000000","5.600000","3.600000","0"
"16.10","7.400000","67.800001","37.600001","2.000000","13.600000","7.800000","0.000000","8.000000","5.800000","0"
"17.20","8.000000","69.400001","37.600001","2.400000","15.000000","9.000000","0.000000","9.000000","8.600000","0"
"18.30","4.400000","70.600001","37.600001","1.600000","15.000000","9.600000","0.000000","10.400000","9.400000","0"
"19.40","2.800000","71.600001","37.600001","1.200000","15.000000","10.400000","0.000000","10.400000","10.000000","0"
"20.50","5.800000","75.400001","37.600001","0.000000","15.000000","11.000000","0.000000","11.200000","10.200000","0"
"21.60","15.200000","79.000001","37.600001","0.000000","15.000000","12.000000","0.000000","12.000000","10.800000","0"
"22.70","26.600000","83.000001","40.600001","0.000000","15.000000","12.000000","0.000000","12.000000","11.800000","0"
"23.80","31.400000","85.800001","43.000001","0.600000","15.600000","12.000000","0.000000","12.000000","11.800000","0"
"24.90","30.200000","87.800001","46.200001","2.200000","17.200000","12.000000","0.000000","12.000000","11.800000","0"
"26.00","25.800000","88.400001","48.400001","4.800000","19.000000","12.000000","0.000000","12.000000","11.800000","0"
"27.10","26.400000","89.800001","50.400001","6.200000","21.000000","12.000000","0.000000","12.000000","11.800000","0"
"28.20","18.600000","90.200001","52.200001","3.600000","21.600000","12.600000","0.000000","12.600000","11.800000","0"
"29.30","30.000000","96.800001","53.200001","6.200000","25.200000","14.200000","0.000000","14.200000","12.400000","0"
"30.40","40.600001","118.000002","59.400001","8.000000","27.800000","15.000000","0.000000","15.400000","14.800000","0"
"31.50","58.800001","138.200002","68.200001","6.800000","28.200000","15.800000","0.000000","17.400000","15.600000","0"
"32.60","64.200001","150.800002","73.600001","5.400000","29.200000","17.600000","0.000000","18.200000","17.200000","0"
"33.70","55.800001","152.800002","78.000001","3.200000","29.600000","21.200000","0.000000","21.200000","17.200000","0"
"34.80","47.600001","155.800002","79.800001","1.800000","29.600000","23.200000","0.000000","23.800000","21.000000","0"
"35.90","35.600001","156.200002","81.200001","1.800000","30.600000","24.200000","0.000000","24.400000","23.200000","0"
"37.00","31.000000","156.800002","81.200001","1.200000","30.800000","25.200000","0.000000","25.200000","24.200000","0"
