"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6739.600100","0.000000","0","0","0.000000","0.000"
"3.40","78.83","0.300","0.00","65.54","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","74.65","0.300","0.00","145.25","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.643"
"5.40","75.67","0.300","0.00","50.34","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000"
"6.40","73.43","0.300","0.00","44.77","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.403"
"7.40","73.25","0.292","14.42","128.22","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.377"
"8.40","77.15","0.281","19.39","102.03","60000.000894","0.000000000","7156.600107","0.000000","0","0","0.000000","0.155"
"9.50","74.83","0.271","31.36","163.68","60000.000894","0.000000000","7743.000115","0.000000","0","0","0.200000","2.265"
"10.60","70.81","0.240","39.33","172.27","60000.000894","0.000000000","7914.200118","0.000000","0","0","0.000000","0.785"
"11.70","74.34","0.197","87.38","138.45","60000.000894","0.000000000","7968.400119","3.400000","0","0","0.000000","0.000"
"12.80","76.06","0.271","34.58","80.46","60000.000894","0.000000000","8220.000122","3.400000","0","0","0.000000","0.525"
"13.90","74.80","0.266","34.65","58.54","60000.000894","0.000000000","8538.400127","3.400000","0","0","0.000000","1.099"
"15.00","78.45","0.268","32.30","30.28","60000.000894","0.000000000","9178.000137","5.000000","0","0","0.000000","0.228"
"16.10","79.35","0.268","30.05","12.14","60000.000894","0.000000000","9537.000142","7.800000","0","0","0.000000","0.797"
"17.20","79.74","0.275","24.48","2.92","60000.000894","0.000000000","9818.400146","9.000000","0","0","0.000000","0.386"
"18.30","79.94","0.283","16.84","0.39","60000.000894","0.000000000","9984.800149","9.600000","0","0","0.000000","0.108"
"19.40","79.84","0.246","68.50","3.60","60000.000894","0.000000000","8691.000130","10.400000","0","0","0.800000","2.613"
"20.50","79.53","0.230","41.25","12.08","60000.000894","0.000000000","8254.800123","11.000000","0","0","0.000000","0.090"
"21.60","77.39","0.269","9.51","44.28","60000.000894","0.000000000","7763.400116","12.000000","0","0","0.000000","0.000"
"22.70","75.29","0.255","37.99","91.71","60000.000894","0.000000000","7438.800111","12.000000","0","0","0.000000","0.901"
"23.80","74.25","0.254","49.78","109.70","60000.000894","0.000000000","7285.600109","12.000000","0","0","0.000000","0.000"
"24.90","75.25","0.261","43.23","118.14","60000.000894","0.000000000","7388.000110","12.000000","0","0","0.000000","0.790"
"26.00","73.23","0.261","35.08","167.77","60000.000894","0.000000000","7416.200111","12.000000","0","0","0.000000","0.671"
"27.10","75.92","0.231","63.76","83.52","60000.000894","0.000000000","7411.800110","12.000000","0","0","0.000000","1.177"
"28.20","77.59","0.252","49.56","38.18","60000.000894","0.000000000","7140.200106","12.600000","0","0","0.000000","1.002"
"29.30","75.44","0.230","68.12","104.53","60000.000894","0.000000000","6426.400096","14.200000","0","0","0.000000","1.472"
"30.40","65.04","0.244","49.53","150.91","60000.000894","0.000000000","5254.600078","15.000000","0","0","0.000000","0.749"
"31.50","24.86","0.199","107.07","311.12","60000.000894","0.000000000","4162.600062","15.800000","0","0","0.000000","1.300"
"32.60","35.11","0.251","45.39","163.21","60000.000894","0.000000000","3889.200058","17.600000","0","0","0.000000","1.037"
"33.70","41.30","0.225","83.26","177.43","60000.000894","0.000000000","4057.800060","21.200000","0","0","0.000000","0.990"
"34.80","65.74","0.212","91.23","204.10","60000.000894","0.000000000","4054.000060","23.200000","0","0","0.000000","1.113"
"35.90","74.71","0.257","24.24","78.47","60000.000894","0.000000000","4679.600070","24.200000","0","0","0.000000","1.663"
"37.00","76.06","0.238","64.52","98.91","60000.000894","0.000000000","4488.800067","25.200000","0","0","0.000000","1.200"
