"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-44.422","-0.003","25.053","-44.422","-0.003","25.053","-1"
"-361.874","-1.608","-124.507","-361.874","-1.608","-124.507","-1"
"-37.955","7.166","-28.465","-37.955","7.166","-28.465","-1"
"-29.651","-7.980","-237.532","-29.651","-7.980","-237.532","-1"
"-2.057","-1.922","-126.034","-2.057","-1.922","-126.034","-1"
"-135.418","-7.275","62.271","-135.418","-7.275","62.271","-1"
"-135.322","-10.980","624.116","-135.322","-10.980","624.116","-1"
"-340.282","-14.823","318.263","-340.282","-14.823","318.263","-1"
"-156.817","20.127","-105.416","-156.817","20.127","-105.416","-1"
"-270.407","29.625","49.102","-270.407","29.625","49.102","-1"
"-188.537","59.725","-180.823","-188.537","59.725","-180.823","-1"
"-156.181","21.885","-123.062","-156.181","21.885","-123.062","-1"
"-401.896","13.112","-178.241","-401.896","13.112","-178.241","-1"
"-284.100","38.208","-28.821","-284.100","38.208","-28.821","-1"
"-1.686","51.830","-133.844","-1.686","51.830","-133.844","-1"
"-36.024","25.744","-75.662","-36.024","25.744","-75.662","-1"
"-10.150","22.136","-89.023","-10.150","22.136","-89.023","-1"
