"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","573.150","0.0000"
"2.300","2.317","1.000","-0.001","580.206","0.0000"
"3.400","3.417","1.000","-269.894","591.105","0.0000"
"4.400","4.417","1.000","-461.514","650.013","0.0000"
"5.400","5.417","1.000","-93.869","576.367","0.0000"
"6.400","6.417","1.000","-165.097","699.249","0.0000"
"7.400","7.417","1.000","-293.858","609.136","0.0000"
"8.400","8.417","1.000","14.855","685.551","0.0000"
"9.500","9.517","1.000","-51.236","660.158","0.0300"
"10.600","10.617","1.000","101.405","576.798","0.0300"
"11.700","11.717","1.000","-4.783","659.777","0.0300"
"12.800","12.817","1.000","-60.697","617.322","0.0300"
"13.900","13.917","1.000","-110.982","561.726","0.0300"
"15.000","15.017","1.000","-129.916","308.650","0.0300"
"16.100","16.117","1.000","-15.531","243.711","0.0300"
"17.200","17.217","1.000","-212.106","477.546","0.0300"
"18.300","18.317","1.000","-165.920","539.177","0.0300"
"19.400","19.417","1.000","-168.132","629.170","0.0300"
"20.500","20.517","1.000","-71.602","611.635","0.0300"
"21.600","21.617","1.000","-89.248","626.053","0.0300"
"22.700","22.717","1.000","-279.711","597.029","0.0300"
"23.800","23.817","1.000","-93.867","682.206","0.0300"
"24.900","24.917","1.000","-168.055","697.096","0.0300"
"26.000","26.017","1.000","-169.933","678.033","0.0000"
"27.100","27.117","1.000","-201.267","638.136","0.0000"
"28.200","28.217","1.000","-67.923","679.015","0.0000"
"29.300","29.317","1.000","-119.823","651.475","0.0000"
"30.400","30.417","1.000","-140.995","513.166","0.0000"
"31.500","31.517","1.000","-11.179","632.398","0.0000"
"32.600","32.617","1.000","-21.658","655.116","0.0000"
"33.700","33.717","1.000","-30.692","646.926","0.0000"
"34.800","34.817","1.000","-6.045","642.085","0.0000"
"35.900","35.917","1.000","-21.768","636.521","0.0000"
"37.000","37.017","1.000","-10.937","627.871","0.0000"
