"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0146","0.0087","0.0000","0.0000","1.5713","29.50","0"
"BucketWheel","2.30","-14.00","-0.001","-0.000","0.003","0.0074","0.0001","0.0000","0.0000","1.5799","26.75","0"
"BucketWheel","3.40","-14.00","-269.894","0.006","31.695","0.0020","0.0032","0.0000","-0.0000","1.5768","24.00","0"
"BucketWheel","4.40","-14.00","-461.514","0.071","-353.683","0.0107","0.0058","0.0040","-0.0040","1.5757","21.50","0"
"BucketWheel","5.40","-14.00","-93.869","0.553","-114.588","0.0363","0.0041","0.0040","-0.0040","1.5788","19.00","0"
"BucketWheel","6.40","-14.00","-165.097","-3.567","-104.838","0.0119","0.0092","0.0092","-0.0092","1.5807","16.50","0"
"BucketWheel","7.40","-14.00","-293.857","-13.756","-328.710","0.0274","0.0102","0.0102","-0.0102","1.5801","16.00","0"
"BucketWheel","8.40","-14.00","15.535","-0.115","-33.807","0.0232","0.0281","0.0102","-0.0102","1.6062","16.00","0"
"BucketWheel","9.50","-14.00","-43.657","-3.465","-184.180","0.0209","0.0110","0.0027","-0.0027","1.5906","16.00","0"
"BucketWheel","10.60","-14.00","105.408","-3.630","-87.225","0.0238","0.0235","0.0214","0.0214","1.5898","16.00","0"
"BucketWheel","11.70","-14.00","-3.367","-1.542","-20.358","0.0221","0.0515","0.0457","0.0457","1.6037","16.00","0"
"BucketWheel","12.80","-14.00","-60.287","7.574","-9.474","0.0095","0.0485","0.0479","-0.0420","1.5726","16.00","0"
"BucketWheel","13.90","-14.00","-110.646","-5.037","-7.304","0.0225","0.0326","0.0315","-0.0201","1.5717","16.00","0"
"BucketWheel","15.00","-14.00","-129.028","-26.241","-8.563","0.0078","0.0251","0.0251","0.0020","1.5801","16.00","0"
"BucketWheel","16.10","-14.00","-14.912","-17.234","-212.322","0.0475","0.0310","0.0310","0.0178","1.5805","16.00","0"
"BucketWheel","17.20","-14.00","-211.349","-24.844","-75.853","0.0250","0.0494","0.0494","0.0418","1.5811","16.00","0"
"BucketWheel","18.30","-14.00","-164.886","-16.970","-85.457","0.0220","0.0692","0.0692","0.0637","1.5805","16.00","0"
"BucketWheel","19.40","-14.00","-169.527","-20.000","56.351","0.0221","0.0926","0.0922","0.0879","1.5714","16.00","0"
"BucketWheel","20.50","-14.00","-69.167","-14.368","-45.403","0.0227","0.1158","0.1158","0.1122","1.5814","16.00","0"
"BucketWheel","21.60","-14.00","-87.013","-15.398","-72.488","0.0242","0.1397","0.1396","0.1365","1.5832","16.00","0"
"BucketWheel","22.70","-14.00","-275.948","-36.051","-302.660","0.0192","0.1557","0.1557","0.1527","1.5802","16.00","0"
"BucketWheel","23.80","-14.00","-90.291","-34.630","-149.835","0.0391","0.1789","0.1789","0.1762","1.5787","16.00","0"
"BucketWheel","24.90","-14.00","-166.106","-13.767","-92.954","0.0237","0.2031","0.2030","0.2005","1.5851","16.00","0"
"BucketWheel","26.00","-14.00","-167.901","-16.889","-48.587","0.0022","0.2056","0.2056","0.2030","1.5797","16.00","0"
"BucketWheel","27.10","-14.00","-200.067","-38.955","-11.573","0.0140","0.2017","0.2017","0.1992","1.5784","16.00","0"
"BucketWheel","28.20","-14.00","-65.670","-1.868","-204.024","0.0115","0.2017","0.2017","0.1992","1.5818","16.00","0"
"BucketWheel","29.30","-14.00","-114.999","-24.793","-106.941","0.0316","0.2017","0.2017","0.1992","1.5815","16.00","0"
"BucketWheel","30.40","-14.00","-139.272","-25.189","-139.864","0.0103","0.2017","0.2017","0.1992","1.5767","16.00","0"
"BucketWheel","31.50","-14.00","-7.120","-9.447","-101.557","0.0129","0.2019","0.2017","0.1992","1.5706","16.00","0"
"BucketWheel","32.60","-14.00","-18.628","-24.600","-29.970","0.0042","0.2019","0.2017","0.1992","1.5714","16.00","0"
"BucketWheel","33.70","-14.00","-32.575","-18.025","29.649","0.0059","0.2019","0.2017","0.1992","1.5716","16.00","0"
"BucketWheel","34.80","-14.00","-6.011","-1.208","-0.356","0.0000","0.2019","0.2017","0.1992","1.5713","16.00","0"
"BucketWheel","35.90","-14.00","-23.154","-1.047","14.397","0.0024","0.2018","0.2017","0.1992","1.5736","16.00","0"
"BucketWheel","37.00","-14.00","-10.905","0.478","-0.943","0.0023","0.2019","0.2017","0.1992","1.5713","16.00","0"
