"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","2.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","14.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","22.400000","24.000000","2.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","31.200000","34.000001","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","41.600001","46.400001","15.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","37.800001","50.000001","18.800000","3.600000","4.200000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","23.400000","50.400001","20.600000","5.000000","6.200000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","19.600000","50.400001","20.600000","4.400000","6.200000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","19.400000","52.800001","21.000000","1.800000","6.200000","0.000000","0.000000","0.200000","0.000000","0"
"11.70","11.600000","54.000001","21.600000","4.000000","10.800000","3.400000","0.400000","4.000000","0.000000","0"
"12.80","7.000000","55.600001","21.600000","5.600000","12.000000","4.000000","0.400000","4.400000","3.600000","0"
"13.90","23.000000","57.200001","21.800000","5.600000","12.000000","4.000000","0.400000","4.400000","3.800000","0"
"15.00","30.200000","59.000001","23.200000","2.200000","12.000000","5.600000","0.400000","6.000000","3.800000","0"
"16.10","31.000000","59.400001","27.400000","0.200000","12.000000","8.400000","0.400000","9.600000","5.400000","0"
"17.20","25.800000","60.400001","30.200000","2.800000","14.800000","9.200000","0.600000","10.000000","9.200000","0"
"18.30","25.200000","63.600001","31.800000","4.800000","16.800000","9.200000","0.600000","10.000000","9.400000","0"
"19.40","21.400000","66.200001","32.800000","5.200000","17.200000","9.200000","0.600000","10.000000","9.600000","0"
"20.50","16.000000","69.800001","33.400000","4.600000","17.400000","9.400000","0.600000","10.200000","9.600000","0"
"21.60","19.600000","71.200001","34.600001","0.600000","17.400000","13.200000","0.600000","14.400000","10.200000","0"
"22.70","27.200000","75.600001","38.400001","1.000000","18.200000","14.200000","0.600000","15.200000","14.400000","0"
"23.80","23.600000","76.200001","44.200001","0.800000","18.200000","14.400000","0.600000","15.200000","15.200000","0"
"24.90","18.200000","80.600001","45.600001","3.800000","21.600000","14.600000","0.600000","15.400000","15.400000","0"
"26.00","17.600000","82.800001","47.400001","4.200000","23.200000","15.400000","0.600000","16.200000","15.800000","0"
"27.10","25.800000","83.400001","48.400001","4.400000","23.400000","15.400000","0.600000","16.200000","16.200000","0"
"28.20","22.600000","83.400001","50.400001","1.600000","23.600000","16.400000","0.600000","17.200000","16.200000","0"
"29.30","15.000000","83.600001","50.600001","1.600000","24.800000","19.200000","0.600000","20.000000","19.200000","0"
"30.40","24.000000","83.600001","50.600001","1.400000","25.200000","19.800000","0.600000","20.600000","20.400000","0"
"31.50","21.400000","84.200001","51.000001","2.200000","25.800000","20.000000","0.600000","20.800000","20.600000","0"
"32.60","10.000000","84.200001","51.200001","1.600000","26.000000","20.800000","0.600000","21.600000","20.600000","0"
"33.70","9.200000","84.200001","51.200001","1.400000","26.200000","21.200000","0.600000","22.000000","21.600000","0"
"34.80","5.800000","84.200001","51.600001","2.200000","26.800000","21.200000","0.600000","22.000000","21.600000","0"
"35.90","8.000000","84.200001","51.600001","1.600000","26.800000","22.200000","0.600000","23.000000","22.000000","0"
"37.00","8.800000","84.200001","51.600001","1.400000","26.800000","22.600000","0.600000","23.400000","23.200000","0"
