"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6739.600100","0.000000","0","0","0.000000","0.000"
"3.40","78.83","0.300","0.00","65.54","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","74.65","0.300","0.00","145.25","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.643"
"5.40","75.67","0.300","0.00","50.34","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000"
"6.40","73.23","0.300","0.00","60.62","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.557"
"7.40","73.71","0.293","19.44","116.35","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.271"
"8.40","77.52","0.280","22.51","15.34","60000.000894","0.000000000","7057.200105","0.000000","0","0","0.000000","0.041"
"9.50","79.04","0.272","24.28","46.74","60000.000894","0.000000000","7450.200111","0.000000","0","0","0.000000","0.243"
"10.60","78.59","0.267","25.99","37.69","60000.000894","0.000000000","7788.000116","0.000000","0","0","0.000000","0.202"
"11.70","79.75","0.282","11.18","4.43","60000.000894","0.000000000","8341.400124","3.400000","0","0","0.000000","0.170"
"12.80","78.97","0.255","57.39","16.52","60000.000894","0.000000000","7713.400115","4.000000","0","0","0.000000","0.016"
"13.90","78.40","0.233","66.16","36.43","60000.000894","0.000000000","7406.200110","4.000000","0","0","0.000000","0.329"
"15.00","77.26","0.242","59.97","39.78","60000.000894","0.000000000","7075.400105","5.600000","0","0","0.000000","0.463"
"16.10","75.37","0.262","46.34","60.10","60000.000894","0.000000000","7219.600108","8.400000","0","0","0.000000","1.220"
"17.20","76.35","0.247","34.24","64.14","60000.000894","0.000000000","7510.800112","9.200000","0","0","0.000000","0.646"
"18.30","77.18","0.258","43.11","54.31","60000.000894","0.000000000","7852.800117","9.200000","0","0","0.000000","0.660"
"19.40","77.63","0.252","47.80","57.40","60000.000894","0.000000000","8509.600127","9.200000","0","0","0.000000","0.446"
"20.50","78.91","0.231","63.87","22.11","60000.000894","0.000000000","8922.000133","9.400000","0","0","0.000000","1.247"
"21.60","77.79","0.278","12.25","26.57","60000.000894","0.000000000","8960.800134","13.200000","0","0","0.000000","1.000"
"22.70","75.51","0.288","11.39","105.13","60000.000894","0.000000000","8963.600134","14.200000","0","0","0.000000","0.647"
"23.80","74.51","0.244","122.63","102.47","60000.000894","0.000000000","9349.000139","14.400000","0","0","0.000000","1.582"
"24.90","77.60","0.243","41.12","49.05","60000.000894","0.000000000","9631.600144","14.600000","0","0","0.000000","0.362"
"26.00","77.98","0.270","27.58","44.39","60000.000894","0.000000000","9886.200147","15.400000","0","0","0.000000","0.763"
"27.10","74.63","0.265","54.33","61.37","60000.000894","0.000000000","9428.600140","15.400000","0","0","0.000000","1.137"
"28.20","76.47","0.275","26.50","66.60","60000.000894","0.000000000","9545.800142","16.400000","0","0","0.000000","1.059"
"29.30","78.60","0.244","62.58","39.11","60000.000894","0.000000000","9892.200147","19.200000","0","0","0.000000","0.997"
"30.40","76.47","0.287","12.18","71.68","60000.000894","0.000000000","9512.000142","19.800000","0","0","0.000000","1.371"
"31.50","78.17","0.282","20.60","31.13","60000.000894","0.000000000","9900.000148","20.000000","0","0","0.000000","0.829"
"32.60","79.02","0.249","51.16","13.57","60000.000894","0.000000000","10358.400154","20.800000","0","0","0.000000","0.473"
"33.70","79.52","0.261","36.31","10.92","60000.000894","0.000000000","10407.200155","21.200000","0","0","0.000000","1.259"
"34.80","79.87","0.267","27.38","1.45","60000.000894","0.000000000","10810.800161","21.200000","0","0","0.000000","0.000"
"35.90","79.87","0.269","36.91","7.06","60000.000894","0.000000000","10528.200157","22.200000","0","0","0.000000","0.046"
"37.00","79.87","0.285","14.32","2.42","60000.000894","0.000000000","10408.000155","22.600000","0","0","0.000000","0.030"
