"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.477","1.000","0.000","0.000","0.0000"
"1.100","3.102","1.000","0.000","0.000","0.0000"
"2.200","5.901","1.000","0.000","0.000","0.0000"
"3.300","8.735","1.000","-59.402","0.000","0.0000"
"4.400","11.488","1.000","-328.844","0.000","0.0000"
"5.500","14.242","1.000","-112.900","0.000","0.0000"
"6.600","17.007","1.000","-565.095","0.000","0.0000"
"7.700","19.784","1.000","-335.946","0.000","0.0000"
"8.700","22.345","1.000","-161.438","0.000","0.0000"
"9.700","24.904","1.000","10.255","0.000","0.0000"
"10.700","27.463","1.000","-215.253","0.000","0.0000"
"11.700","30.010","1.000","-146.722","0.000","0.0000"
"12.700","32.573","1.000","-179.441","0.000","0.0000"
"13.700","35.145","1.000","-201.156","0.000","0.0000"
"14.700","37.717","1.000","-14.738","0.000","0.0000"
"15.700","40.316","1.000","-74.694","0.000","0.0000"
"16.800","43.201","1.000","-157.942","0.000","0.0000"
"17.900","46.052","1.000","-236.544","0.000","0.0000"
"19.000","48.937","1.000","-121.357","0.000","0.0000"
"20.100","51.799","1.000","-385.108","0.000","0.0000"
"21.200","54.654","1.000","-52.147","0.000","0.0000"
"22.300","57.537","1.000","-150.902","0.000","0.0000"
"23.400","60.401","1.000","-124.632","0.000","0.0000"
"24.500","63.266","1.000","-148.247","0.000","0.0000"
"25.600","66.151","1.000","-128.452","0.000","0.0000"
"26.700","69.083","1.000","-110.114","0.000","0.0000"
"27.800","72.028","1.000","-105.391","0.000","0.0000"
"28.900","74.952","1.000","-69.010","0.000","0.0000"
"30.000","77.880","1.000","-111.526","0.000","0.0000"
"31.100","80.815","1.000","-52.918","0.000","0.0000"
"32.200","83.750","1.000","-60.873","0.000","0.0000"
"33.300","86.682","1.000","-148.417","0.000","0.0000"
"34.400","89.628","1.000","-62.041","0.000","0.0000"
"35.500","92.552","1.000","-150.749","0.000","0.0000"
"36.600","95.518","1.000","-67.795","0.000","0.0000"
