"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.0000","0.0000","0.0000","0.0000","1.5800","30.00","0"
"BucketWheel","1.10","-14.00","-0.000","-0.000","-0.000","0.0000","0.0000","0.0000","0.0000","1.5800","29.75","0"
"BucketWheel","2.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0000","0.0000","0.0000","1.5800","27.00","0"
"BucketWheel","3.30","-14.00","-59.402","0.000","5.120","0.0000","0.0000","0.0000","0.0000","1.5800","24.25","0"
"BucketWheel","4.40","-14.00","-328.844","0.006","-91.858","0.0000","0.0000","0.0000","0.0000","1.5800","21.50","0"
"BucketWheel","5.50","-14.00","-112.900","2.378","-39.346","0.0000","0.0000","0.0000","0.0000","1.5800","18.75","0"
"BucketWheel","6.60","-14.00","-565.095","-5.745","-239.591","0.0000","0.0000","0.0000","0.0000","1.5800","16.00","0"
"BucketWheel","7.70","-14.00","-335.946","-9.105","-305.972","0.0000","0.0000","0.0000","0.0000","1.5800","16.00","0"
"BucketWheel","8.70","-14.00","-161.438","-3.864","-86.653","0.0000","0.0000","0.0000","0.0000","1.5800","16.00","0"
"BucketWheel","9.70","-14.00","10.255","17.861","-507.436","0.0000","0.0210","0.0210","0.0210","1.5800","16.00","0"
"BucketWheel","10.70","-14.00","-215.253","-28.867","-35.264","0.0000","0.0510","0.0510","0.0510","1.5800","16.00","0"
"BucketWheel","11.70","-14.00","-146.722","-10.079","-165.605","0.0000","0.0810","0.0810","0.0810","1.5800","16.00","0"
"BucketWheel","12.70","-14.00","-179.441","-15.575","-181.104","0.0000","0.1110","0.1110","0.1110","1.5800","16.00","0"
"BucketWheel","13.70","-14.00","-201.156","-25.315","-69.410","0.0000","0.1410","0.1410","0.1410","1.5800","16.00","0"
"BucketWheel","14.70","-14.00","-14.738","-10.598","-172.606","0.0000","0.1710","0.1710","0.1710","1.5800","16.00","0"
"BucketWheel","15.70","-14.00","-74.694","-4.192","34.270","0.0000","0.2010","0.2010","0.2010","1.5800","16.00","0"
"BucketWheel","16.80","-14.00","-157.942","2.793","-28.145","0.0000","0.2340","0.2340","0.2340","1.5800","16.00","0"
"BucketWheel","17.90","-14.00","-236.544","-8.212","-224.135","0.0000","0.2670","0.2670","0.2670","1.5800","16.00","0"
"BucketWheel","19.00","-14.00","-121.357","14.440","-46.012","0.0000","0.3000","0.3000","0.3000","1.5800","16.00","0"
"BucketWheel","20.10","-14.00","-385.108","29.400","-215.048","0.0000","0.3330","0.3330","0.3330","1.5800","16.00","0"
"BucketWheel","21.20","-14.00","-52.147","12.977","-160.296","0.0000","0.3660","0.3660","0.3660","1.5800","16.00","0"
"BucketWheel","22.30","-14.00","-150.902","26.488","-183.153","0.0000","0.3990","0.3990","0.3990","1.5800","16.00","0"
"BucketWheel","23.40","-14.00","-124.632","-4.417","-63.692","0.0000","0.4320","0.4320","0.4320","1.5800","16.00","0"
"BucketWheel","24.50","-14.00","-148.247","-36.169","-128.770","0.0000","0.4650","0.4650","0.4650","1.5800","16.00","0"
"BucketWheel","25.60","-14.00","-128.452","-2.478","-141.882","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","26.70","-14.00","-110.114","19.300","-123.326","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","27.80","-14.00","-105.391","-2.456","-139.143","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","28.90","-14.00","-69.010","-4.139","-72.931","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","30.00","-14.00","-111.526","-4.297","-156.696","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","31.10","-14.00","-52.918","-16.918","-34.668","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","32.20","-14.00","-60.873","-25.310","-107.195","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","33.30","-14.00","-148.417","-25.673","-105.934","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","34.40","-14.00","-62.041","-14.911","-40.718","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","35.50","-14.00","-150.749","-12.797","-161.851","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","36.60","-14.00","-67.795","-0.713","-20.825","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
