"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"1.10","2.000000","2.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"2.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"3.30","14.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"4.40","22.400000","23.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"5.50","32.000000","34.400001","9.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"6.60","37.200001","47.800001","16.000000","3.600000","3.600000","0.000000","0.000000","0.000000","0.000000","1"
"7.70","36.400001","49.600001","20.600000","3.600000","3.600000","0.000000","0.000000","0.000000","0.000000","1"
"8.70","32.400000","49.800001","22.800000","7.600000","7.800000","0.000000","0.000000","0.000000","0.000000","1"
"9.70","33.400000","53.600001","27.000000","4.800000","9.400000","0.800000","0.000000","3.400000","0.000000","1"
"10.70","23.800000","55.200001","27.800000","9.000000","14.600000","3.400000","0.000000","3.400000","3.400000","1"
"11.70","23.800000","58.800001","34.000001","8.000000","15.000000","3.400000","0.000000","3.400000","3.400000","1"
"12.70","23.600000","63.600001","35.400001","8.200000","18.200000","6.600000","0.000000","6.600000","3.400000","1"
"13.70","21.400000","64.000001","36.600001","6.200000","18.800000","8.000000","0.000000","8.000000","6.600000","1"
"14.70","24.400000","68.000001","39.600001","3.400000","19.000000","10.600000","0.000000","10.800000","8.000000","1"
"15.70","22.200000","72.600001","41.600001","1.000000","19.000000","11.400000","0.000000","12.200000","11.000000","1"
"16.80","20.400000","74.800001","43.600001","0.400000","19.200000","14.000000","0.000000","14.400000","12.000000","1"
"17.90","23.800000","80.800001","44.400001","0.400000","19.400000","14.400000","0.000000","14.400000","14.400000","1"
"19.00","20.000000","83.200001","46.000001","0.600000","20.000000","14.600000","0.000000","14.600000","14.600000","1"
"20.10","23.000000","90.200001","47.600001","1.200000","20.800000","14.800000","0.000000","14.800000","14.600000","1"
"21.20","24.800000","94.400001","50.000001","1.200000","21.000000","14.800000","0.000000","15.000000","14.800000","1"
"22.30","18.800000","96.400001","52.000001","2.000000","23.200000","15.000000","0.000000","15.400000","15.000000","1"
"23.40","24.600000","102.000002","53.600001","2.400000","23.800000","16.000000","0.000000","16.000000","15.800000","1"
"24.50","26.400000","107.600002","55.800001","3.400000","25.000000","16.000000","0.000000","16.000000","16.000000","1"
"25.60","24.200000","108.600002","58.600001","2.800000","26.600000","17.400000","0.000000","17.400000","16.000000","1"
"26.70","21.000000","109.400002","60.600001","1.800000","26.800000","17.800000","0.000000","18.000000","17.800000","1"
"27.80","21.000000","111.400002","63.800001","1.800000","27.600000","19.200000","0.000000","19.200000","18.800000","1"
"28.90","22.600000","112.400002","64.600001","1.600000","28.800000","20.400000","0.000000","20.400000","19.200000","1"
"30.00","22.400000","113.200002","67.000001","1.600000","29.000000","20.400000","0.000000","20.400000","20.400000","1"
"31.10","22.800000","114.000002","69.000001","1.600000","29.600000","20.600000","0.000000","21.000000","20.400000","1"
"32.20","22.800000","115.400002","70.200001","1.200000","30.200000","21.800000","0.000000","21.800000","21.000000","1"
"33.30","23.000000","116.400002","71.400001","1.200000","30.400000","22.000000","0.000000","22.000000","21.800000","1"
"34.40","23.600000","117.400002","72.400001","1.000000","31.200000","22.000000","0.000000","22.400000","22.000000","1"
"35.50","24.200000","119.000002","73.400001","0.200000","31.400000","22.800000","0.000000","22.800000","22.400000","1"
"36.60","25.200000","120.400002","74.000001","0.200000","32.000000","22.800000","0.000000","22.800000","22.800000","1"
