"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm"
"0.10","19.10","0.223","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"1.10","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000"
"2.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6620.000099","0.000000","0","0","0.000000","0.000"
"3.30","79.68","0.300","0.00","14.82","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000"
"4.40","74.84","0.300","0.00","91.65","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.542"
"5.50","74.49","0.300","0.00","88.91","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.898"
"6.60","71.36","0.288","15.52","166.61","60000.000894","0.000000000","7040.000105","0.000000","0","0","0.000000","0.772"
"7.70","74.46","0.286","14.36","127.23","60000.000894","0.000000000","7040.000105","0.000000","0","0","0.000000","0.000"
"8.70","75.92","0.275","26.17","52.93","60000.000894","0.000000000","7040.000105","0.000000","0","0","0.000000","0.000"
"9.70","73.22","0.261","26.07","153.30","60000.000894","0.000000000","7200.800107","0.800000","0","0","0.000000","0.752"
"10.70","76.76","0.244","54.13","58.34","60000.000894","0.000000000","7643.400114","3.400000","0","0","0.000000","0.661"
"11.70","77.11","0.231","65.75","60.62","60000.000894","0.000000000","7963.400119","3.400000","0","0","0.000000","0.211"
"12.70","77.19","0.235","61.57","62.63","60000.000894","0.000000000","8388.000125","6.600000","0","0","0.000000","1.129"
"13.70","76.73","0.227","78.29","64.44","60000.000894","0.000000000","8708.000130","8.000000","0","0","0.000000","0.796"
"14.70","76.50","0.271","38.03","70.99","60000.000894","0.000000000","9010.600134","10.600000","0","0","0.000000","0.800"
"15.70","77.93","0.247","55.89","31.28","60000.000894","0.000000000","9449.600141","11.400000","0","0","0.000000","0.608"
"16.80","76.98","0.269","31.04","55.80","60000.000894","0.000000000","9773.600146","14.000000","0","0","0.000000","1.000"
"17.90","76.08","0.281","17.12","87.42","60000.000894","0.000000000","10214.000152","14.400000","0","0","0.000000","1.000"
"19.00","77.63","0.280","21.24","32.03","60000.000894","0.000000000","10654.600159","14.600000","0","0","0.000000","0.782"
"20.10","75.67","0.283","18.16","116.59","60000.000894","0.000000000","10974.800164","14.800000","0","0","0.000000","0.184"
"21.20","76.35","0.271","37.86","65.39","60000.000894","0.000000000","11414.800170","14.800000","0","0","0.000000","0.674"
"22.30","77.40","0.267","41.61","58.56","60000.000894","0.000000000","11855.000177","15.000000","0","0","0.000000","0.845"
"23.40","78.10","0.281","18.08","39.24","60000.000894","0.000000000","12176.000181","16.000000","0","0","0.000000","1.049"
"24.50","76.97","0.276","30.35","47.36","60000.000894","0.000000000","12616.000188","16.000000","0","0","0.000000","1.170"
"25.60","76.08","0.273","20.70","52.49","60000.000894","0.000000000","12777.400190","17.400000","0","0","0.000000","1.038"
"26.70","77.41","0.267","27.67","49.10","60000.000894","0.000000000","12776.000190","17.800000","0","0","0.000000","1.086"
"27.80","77.56","0.274","29.20","53.12","60000.000894","0.000000000","12777.400190","19.200000","0","0","0.000000","0.855"
"28.90","78.12","0.270","34.10","30.54","60000.000894","0.000000000","12778.200190","20.400000","0","0","0.000000","0.763"
"30.00","77.07","0.261","40.01","55.35","60000.000894","0.000000000","12778.200190","20.400000","0","0","0.000000","0.646"
"31.10","78.60","0.271","27.69","20.43","60000.000894","0.000000000","12778.400190","20.600000","0","0","0.000000","0.559"
"32.20","77.82","0.275","21.08","45.27","60000.000894","0.000000000","12779.600190","21.800000","0","0","0.000000","1.152"
"33.30","77.39","0.281","17.85","57.34","60000.000894","0.000000000","12779.000190","22.000000","0","0","0.000000","1.000"
"34.40","77.81","0.285","13.23","36.83","60000.000894","0.000000000","12779.000190","22.000000","0","0","0.000000","0.402"
"35.50","78.01","0.273","32.39","53.54","60000.000894","0.000000000","12779.400190","22.800000","0","0","0.000000","0.448"
"36.60","78.10","0.278","19.99","21.68","60000.000894","0.000000000","12779.400190","22.800000","0","0","0.000000","0.918"
