"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.574","1.000","0.000","0.000","0.0000"
"1.100","3.183","1.000","0.000","0.000","0.0000"
"2.200","6.008","1.000","0.000","0.000","0.0000"
"3.300","8.882","1.000","0.001","0.000","0.0000"
"4.400","11.620","1.000","-374.451","0.000","0.0000"
"5.500","14.359","1.000","-24.674","0.000","0.0000"
"6.600","17.122","1.000","-142.165","0.000","0.0000"
"7.700","19.892","1.000","-46.582","0.000","0.0000"
"8.700","22.450","1.000","-27.217","0.000","0.0000"
"9.700","25.012","1.000","-31.478","0.000","0.0000"
"10.700","27.576","1.000","-37.760","0.000","0.0000"
"11.700","30.142","1.000","-163.545","0.000","0.0000"
"12.700","32.686","1.000","-122.402","0.000","0.0000"
"13.700","35.241","1.000","-80.224","0.000","0.0000"
"14.700","37.807","1.000","-50.742","0.000","0.0000"
"15.700","40.347","1.000","-58.134","0.000","0.0000"
"16.800","43.175","1.000","-65.964","0.000","0.0000"
"17.900","46.009","1.000","-50.413","0.000","0.0000"
"19.000","48.829","1.000","-61.604","0.000","0.0000"
"20.100","51.680","1.000","-71.461","0.000","0.0000"
"21.200","54.500","1.000","-112.863","0.000","0.0000"
"22.300","57.318","1.000","-59.199","0.000","0.0000"
"23.400","60.149","1.000","-150.784","0.000","0.0000"
"24.500","62.994","1.000","-122.166","0.000","0.0000"
"25.600","65.819","1.000","-79.436","0.000","0.0000"
"26.700","68.686","1.000","-152.481","0.000","0.0000"
"27.800","71.605","1.000","-94.656","0.000","0.0000"
"28.900","74.500","1.000","-37.398","0.000","0.0000"
"30.000","77.362","1.000","-82.785","0.000","0.0000"
"31.100","80.235","1.000","-128.620","0.000","0.0000"
"32.200","83.132","1.000","-120.515","0.000","0.0000"
"33.300","86.042","1.000","-286.514","0.000","0.0000"
"34.400","88.929","1.000","-77.979","0.000","0.0000"
"35.500","91.826","1.000","-37.448","0.000","0.0000"
"36.600","94.754","1.000","-145.213","0.000","0.0000"
