"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.0000","0.0000","0.0000","0.0000","1.5800","30.00","0"
"BucketWheel","1.10","-14.00","-0.000","-0.000","-0.000","0.0000","0.0000","0.0000","0.0000","1.5800","29.75","0"
"BucketWheel","2.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0000","0.0000","0.0000","1.5800","27.00","0"
"BucketWheel","3.30","-14.00","0.001","0.000","0.000","0.0000","0.0000","0.0000","0.0000","1.5800","24.25","0"
"BucketWheel","4.40","-14.00","-374.451","-0.318","-70.490","0.0000","0.0000","0.0000","0.0000","1.5800","21.50","0"
"BucketWheel","5.50","-14.00","-24.674","0.073","-8.342","0.0000","0.0000","0.0000","0.0000","1.5800","20.00","0"
"BucketWheel","6.60","-14.00","-142.165","0.472","-126.639","0.0000","0.0000","0.0000","0.0000","1.5800","20.00","0"
"BucketWheel","7.70","-14.00","-46.582","0.526","-89.930","0.0000","0.0000","0.0000","0.0000","1.5800","20.00","0"
"BucketWheel","8.70","-14.00","-27.217","-0.424","-26.123","0.0000","0.0000","0.0000","0.0000","1.5800","20.00","0"
"BucketWheel","9.70","-14.00","-31.478","-3.994","-192.619","0.0000","0.0210","0.0210","0.0210","1.5800","20.00","0"
"BucketWheel","10.70","-14.00","-37.760","7.343","-63.051","0.0000","0.0510","0.0510","0.0510","1.5800","20.00","0"
"BucketWheel","11.70","-14.00","-163.545","5.833","73.735","0.0000","0.0810","0.0810","0.0810","1.5800","20.00","0"
"BucketWheel","12.70","-14.00","-122.402","11.922","-52.822","0.0000","0.1110","0.1110","0.1110","1.5800","20.00","0"
"BucketWheel","13.70","-14.00","-80.224","9.706","-46.276","0.0000","0.1410","0.1410","0.1410","1.5800","20.00","0"
"BucketWheel","14.70","-14.00","-50.742","0.395","13.137","0.0000","0.1710","0.1710","0.1710","1.5800","20.00","0"
"BucketWheel","15.70","-14.00","-58.134","7.571","-34.182","0.0000","0.2010","0.2010","0.2010","1.5800","20.00","0"
"BucketWheel","16.80","-14.00","-65.964","2.092","-63.098","0.0000","0.2340","0.2340","0.2340","1.5800","20.00","0"
"BucketWheel","17.90","-14.00","-50.413","9.853","-52.111","0.0000","0.2670","0.2670","0.2670","1.5800","20.00","0"
"BucketWheel","19.00","-14.00","-61.604","12.679","-29.217","0.0000","0.3000","0.3000","0.3000","1.5800","20.00","0"
"BucketWheel","20.10","-14.00","-71.461","11.209","-29.903","0.0000","0.3330","0.3330","0.3330","1.5800","20.00","0"
"BucketWheel","21.20","-14.00","-112.863","14.860","0.354","0.0000","0.3660","0.3660","0.3660","1.5800","20.00","0"
"BucketWheel","22.30","-14.00","-59.199","15.914","-30.810","0.0000","0.3990","0.3990","0.3990","1.5800","20.00","0"
"BucketWheel","23.40","-14.00","-150.784","18.397","-117.885","0.0000","0.4320","0.4320","0.4320","1.5800","20.00","0"
"BucketWheel","24.50","-14.00","-122.166","17.954","-49.391","0.0000","0.4650","0.4650","0.4650","1.5800","20.00","0"
"BucketWheel","25.60","-14.00","-79.436","17.616","-28.036","0.0000","0.4800","0.4800","0.4800","1.5800","20.00","0"
"BucketWheel","26.70","-14.00","-152.481","26.789","0.831","0.0000","0.4800","0.4800","0.4800","1.5800","20.00","0"
"BucketWheel","27.80","-14.00","-94.656","9.791","-12.191","0.0000","0.4800","0.4800","0.4800","1.5800","20.00","0"
"BucketWheel","28.90","-14.00","-37.398","6.811","-20.993","0.0000","0.4800","0.4800","0.4800","1.5800","20.00","0"
"BucketWheel","30.00","-14.00","-82.785","1.631","-71.867","0.0000","0.4800","0.4800","0.4800","1.5800","20.00","0"
"BucketWheel","31.10","-14.00","-128.620","16.603","-181.118","0.0000","0.4800","0.4800","0.4800","1.5800","20.00","0"
"BucketWheel","32.20","-14.00","-120.515","8.640","-112.642","0.0000","0.4800","0.4800","0.4800","1.5800","20.00","0"
"BucketWheel","33.30","-14.00","-286.514","-3.011","-44.024","0.0000","0.4800","0.4800","0.4800","1.5800","20.00","0"
"BucketWheel","34.40","-14.00","-77.979","-8.736","0.564","0.0000","0.4800","0.4800","0.4800","1.5800","20.00","0"
"BucketWheel","35.50","-14.00","-37.448","12.013","-178.074","0.0000","0.4800","0.4800","0.4800","1.5800","20.00","0"
"BucketWheel","36.60","-14.00","-145.213","14.113","-70.161","0.0000","0.4800","0.4800","0.4800","1.5800","20.00","0"
