"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"1.10","2.000000","2.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"2.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"3.30","14.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"4.40","23.200000","24.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"5.50","27.600000","30.400000","1.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"6.60","27.600000","30.400000","6.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"7.70","28.800000","30.400000","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"8.70","29.600000","30.800000","8.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"9.70","30.000000","32.800000","9.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"10.70","29.400000","36.800001","10.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"11.70","29.200000","38.800001","10.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"12.70","31.600000","45.000001","11.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"13.70","30.600000","45.400001","11.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"14.70","31.400000","51.200001","12.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"15.70","28.800000","54.800001","13.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"16.80","28.600000","57.200001","15.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"17.90","30.800000","63.200001","16.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"19.00","30.000000","66.800001","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"20.10","30.400000","69.200001","18.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"21.20","32.000000","75.200001","19.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"22.30","29.600000","78.800001","21.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"23.40","30.000000","81.200001","21.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"24.50","31.800000","87.200001","23.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"25.60","30.400000","87.200001","24.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"26.70","30.400000","87.200001","25.400000","0.200000","0.200000","0.000000","0.000000","0.000000","0.000000","1"
"27.80","31.000000","87.200001","26.000000","0.200000","0.200000","0.000000","0.000000","0.000000","0.000000","1"
"28.90","30.200000","87.200001","26.000000","0.000000","0.200000","0.000000","0.000000","0.000000","0.000000","1"
"30.00","29.200000","87.200001","26.400000","0.800000","1.000000","0.200000","0.000000","0.200000","0.200000","1"
"31.10","28.600000","87.200001","26.800000","0.800000","1.000000","0.200000","0.000000","0.200000","0.200000","1"
"32.20","28.600000","87.200001","26.800000","0.800000","1.000000","0.200000","0.000000","0.200000","0.200000","1"
"33.30","28.000000","87.200001","27.000000","0.000000","1.000000","1.000000","0.000000","1.000000","0.600000","1"
"34.40","25.600000","87.200001","27.200000","0.200000","1.200000","1.000000","0.000000","1.000000","1.000000","1"
"35.50","25.800000","87.400001","27.200000","0.200000","1.200000","1.000000","0.000000","1.000000","1.000000","1"
"36.60","25.400000","87.400001","27.200000","0.200000","1.200000","1.000000","0.000000","1.000000","1.000000","1"
