"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","18.49","0.223","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0"
"1.10","30.00","0.300","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0"
"2.20","30.00","0.300","0.00","0.00","60000.000894","0.000000000","6620.000099","0.000000","0","0"
"3.30","29.80","0.300","0.00","-0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0"
"4.40","26.66","0.300","0.00","91.94","60000.000894","0.000000000","6900.000103","0.000000","0","0"
"5.50","28.90","0.300","0.00","5.92","60000.000894","0.000000000","6900.000103","0.000000","0","0"
"6.60","27.81","0.300","0.00","41.47","60000.000894","0.000000000","6900.000103","0.000000","0","0"
"7.70","29.07","0.300","0.00","28.18","60000.000894","0.000000000","6900.000103","0.000000","0","0"
"8.70","29.25","0.300","0.00","10.34","60000.000894","0.000000000","6900.000103","0.000000","0","0"
"9.70","27.31","0.300","0.00","47.92","60000.000894","0.000000000","7190.000107","0.000000","0","0"
"10.70","28.89","0.300","0.00","15.88","60000.000894","0.000000000","7500.000112","0.000000","0","0"
"11.70","27.39","0.297","6.37","52.15","60000.000894","0.000000000","7800.000116","0.000000","0","0"
"12.70","28.02","0.286","14.73","26.91","60000.000894","0.000000000","8240.000123","0.000000","0","0"
"13.70","28.77","0.300","0.48","23.20","60000.000894","0.000000000","8560.000128","0.000000","0","0"
"14.70","28.34","0.300","0.02","16.39","60000.000894","0.000000000","8987.200134","0.000000","0","0"
"15.70","28.45","0.292","9.33","21.35","60000.000894","0.000000000","9300.000139","0.000000","0","0"
"16.80","27.70","0.299","0.25","29.50","60000.000894","0.000000000","9760.000145","0.000000","0","0"
"17.90","28.19","0.295","11.56","22.09","60000.000894","0.000000000","10040.000150","0.000000","0","0"
"19.00","28.65","0.298","1.63","18.09","60000.000894","0.000000000","10500.000156","0.000000","0","0"
"20.10","28.38","0.300","0.04","28.18","60000.000894","0.000000000","10884.400162","0.000000","0","0"
"21.20","27.76","0.297","2.60","61.36","60000.000894","0.000000000","11240.000167","0.000000","0","0"
"22.30","28.09","0.298","1.65","19.90","60000.000894","0.000000000","11700.000174","0.000000","0","0"
"23.40","27.68","0.298","0.12","49.90","60000.000894","0.000000000","12000.000179","0.000000","0","0"
"24.50","27.78","0.299","0.10","42.39","60000.000894","0.000000000","12440.000185","0.000000","0","0"
"25.60","28.12","0.284","29.65","34.71","60000.000894","0.000000000","12600.000188","0.000000","0","0"
"26.70","26.67","0.300","-0.41","52.24","60000.000894","0.000000000","12600.000188","0.000000","0","0"
"27.80","27.80","0.299","0.58","43.10","60000.000894","0.000000000","12600.000188","0.000000","0","0"
"28.90","27.82","0.277","18.64","18.95","60000.000894","0.000000000","12600.000188","0.000000","0","0"
"30.00","27.78","0.293","5.15","34.89","60000.000894","0.000000000","12600.200188","0.200000","0","0"
"31.10","27.58","0.288","3.49","58.03","60000.000894","0.000000000","12600.200188","0.200000","0","0"
"32.20","27.70","0.298","1.83","44.18","60000.000894","0.000000000","12600.200188","0.200000","0","0"
"33.30","25.40","0.300","0.10","81.84","60000.000894","0.000000000","12600.600188","1.000000","0","0"
"34.40","28.11","0.291","10.03","21.18","60000.000894","0.000000000","12600.600188","1.000000","0","0"
"35.50","27.48","0.298","1.75","54.87","60000.000894","0.000000000","12600.600188","1.000000","0","0"
"36.60","28.51","0.286","0.64","29.56","60000.000894","0.000000000","12600.600188","1.000000","0","0"
