"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.532","1.000","0.000","0.000","0.0000"
"1.100","3.177","1.000","0.000","0.000","0.0000"
"2.200","6.034","1.000","0.000","0.000","0.0000"
"3.300","8.889","1.000","0.001","0.000","0.0000"
"4.400","11.633","1.000","-375.171","0.000","0.0000"
"5.500","14.365","1.000","-590.264","0.000","0.0000"
"6.600","17.118","1.000","-384.099","0.000","0.0000"
"7.700","19.889","1.000","-228.955","0.000","0.0000"
"8.700","22.423","1.000","-84.009","0.000","0.0000"
"9.700","24.986","1.000","-301.194","0.000","0.0000"
"10.700","27.567","1.000","-24.852","0.000","0.0000"
"11.700","30.160","1.000","-184.516","0.000","0.0000"
"12.700","32.729","1.000","-365.610","0.000","0.0000"
"13.700","35.282","1.000","-181.926","0.000","0.0000"
"14.700","37.836","1.000","-223.240","0.000","0.0000"
"15.700","40.390","1.000","-222.444","0.000","0.0000"
"16.800","43.208","1.000","-164.265","0.000","0.0000"
"17.900","46.024","1.000","-471.244","0.000","0.0000"
"19.000","48.869","1.000","-170.450","0.000","0.0000"
"20.100","51.718","1.000","-402.625","0.000","0.0000"
"21.200","54.569","1.000","-213.770","0.000","0.0000"
"22.300","57.474","1.000","-118.731","0.000","0.0000"
"23.400","60.300","1.000","-221.355","0.000","0.0000"
"24.500","63.137","1.000","-308.417","0.000","0.0000"
"25.600","65.977","1.000","-282.187","0.000","0.0000"
"26.700","68.837","1.000","-354.876","0.000","0.0000"
"27.800","71.705","1.000","-202.084","0.000","0.0000"
"28.900","74.591","1.000","-331.691","0.000","0.0000"
"30.000","77.510","1.000","-377.571","0.000","0.0000"
"31.100","80.446","1.000","-170.377","0.000","0.0000"
"32.200","83.386","1.000","-232.413","0.000","0.0000"
"33.300","86.316","1.000","-155.421","0.000","0.0000"
"34.400","89.245","1.000","-239.937","0.000","0.0000"
"35.500","92.174","1.000","-105.672","0.000","0.0000"
"36.600","95.114","1.000","-282.576","0.000","0.0000"
