"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.0000","0.0000","0.0000","0.0000","1.5800","30.00","0"
"BucketWheel","1.10","-14.00","-0.000","-0.000","-0.000","0.0000","0.0000","0.0000","0.0000","1.5800","29.75","0"
"BucketWheel","2.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0000","0.0000","0.0000","1.5800","27.00","0"
"BucketWheel","3.30","-14.00","0.001","0.000","0.000","0.0000","0.0000","0.0000","0.0000","1.5800","24.25","0"
"BucketWheel","4.40","-14.00","-375.171","0.001","-70.292","0.0000","0.0000","0.0000","0.0000","1.5800","21.50","0"
"BucketWheel","5.50","-14.00","-590.264","-0.000","102.278","0.0000","0.0000","0.0000","0.0000","1.5800","18.75","0"
"BucketWheel","6.60","-14.00","-384.099","0.103","-13.024","0.0000","0.0000","0.0000","0.0000","1.5800","16.00","0"
"BucketWheel","7.70","-14.00","-228.955","0.062","-176.424","0.0000","0.0000","0.0000","0.0000","1.5800","16.00","0"
"BucketWheel","8.70","-14.00","-84.009","-0.543","-266.006","0.0000","0.0000","0.0000","0.0000","1.5800","16.00","0"
"BucketWheel","9.70","-14.00","-301.194","-3.984","-571.064","0.0000","0.0210","0.0210","0.0210","1.5800","16.00","0"
"BucketWheel","10.70","-14.00","-24.852","1.352","-116.256","0.0000","0.0510","0.0510","0.0510","1.5800","16.00","0"
"BucketWheel","11.70","-14.00","-184.516","-10.697","-107.760","0.0000","0.0810","0.0810","0.0810","1.5800","16.00","0"
"BucketWheel","12.70","-14.00","-365.610","-1.584","-16.478","0.0000","0.1110","0.1110","0.1110","1.5800","16.00","0"
"BucketWheel","13.70","-14.00","-181.926","-17.138","-154.738","0.0000","0.1410","0.1410","0.1410","1.5800","16.00","0"
"BucketWheel","14.70","-14.00","-223.240","-13.838","-29.181","0.0000","0.1710","0.1710","0.1710","1.5800","16.00","0"
"BucketWheel","15.70","-14.00","-222.444","-8.510","-124.790","0.0000","0.2010","0.2010","0.2010","1.5800","16.00","0"
"BucketWheel","16.80","-14.00","-164.265","2.808","-219.568","0.0000","0.2340","0.2340","0.2340","1.5800","16.00","0"
"BucketWheel","17.90","-14.00","-471.244","-23.700","-129.123","0.0000","0.2670","0.2670","0.2670","1.5800","16.00","0"
"BucketWheel","19.00","-14.00","-170.450","-18.857","-57.417","0.0000","0.3000","0.3000","0.3000","1.5800","16.00","0"
"BucketWheel","20.10","-14.00","-402.625","-42.303","-272.394","0.0000","0.3330","0.3330","0.3330","1.5800","16.00","0"
"BucketWheel","21.20","-14.00","-213.770","-15.946","-264.120","0.0000","0.3660","0.3660","0.3660","1.5800","16.00","0"
"BucketWheel","22.30","-14.00","-118.731","-46.608","-81.878","0.0000","0.3990","0.3990","0.3990","1.5800","16.00","0"
"BucketWheel","23.40","-14.00","-221.355","-4.322","-158.711","0.0000","0.4320","0.4320","0.4320","1.5800","16.00","0"
"BucketWheel","24.50","-14.00","-308.417","-14.207","-136.128","0.0000","0.4650","0.4650","0.4650","1.5800","16.00","0"
"BucketWheel","25.60","-14.00","-282.187","-12.312","33.432","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","26.70","-14.00","-354.876","-13.151","-179.198","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","27.80","-14.00","-202.084","-35.528","-115.572","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","28.90","-14.00","-331.691","-21.978","-143.636","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","30.00","-14.00","-377.571","-130.955","-143.407","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","31.10","-14.00","-170.377","-39.984","-148.251","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","32.20","-14.00","-232.413","-3.355","-62.464","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","33.30","-14.00","-155.421","0.279","-170.060","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","34.40","-14.00","-239.937","-26.369","-85.851","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","35.50","-14.00","-105.672","-38.089","-168.835","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
"BucketWheel","36.60","-14.00","-282.576","7.133","-86.126","0.0000","0.4800","0.4800","0.4800","1.5800","16.00","0"
