"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"1.10","2.000000","2.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"2.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"3.30","14.000000","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"4.40","23.200000","24.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"5.50","32.400000","34.400001","4.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"6.60","46.000001","50.000001","6.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"7.70","43.600001","50.400001","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"8.70","44.000001","50.400001","14.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"9.70","45.600001","52.000001","19.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"10.70","46.800001","56.000001","22.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"11.70","41.400001","56.800001","23.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"12.70","43.400001","61.400001","24.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"13.70","44.600001","63.200001","25.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"14.70","45.200001","67.400001","26.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"15.70","42.000001","70.000001","27.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"16.80","45.000001","73.600001","31.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"17.90","46.200001","78.400001","34.600001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"19.00","42.000001","80.400001","36.000001","0.600000","0.600000","0.000000","0.000000","0.000000","0.000000","1"
"20.10","43.600001","85.200001","37.800001","0.400000","0.600000","0.000000","0.000000","0.000000","0.000000","1"
"21.20","43.600001","89.400001","40.800001","0.600000","0.800000","0.000000","0.000000","0.000000","0.000000","1"
"22.30","36.200001","91.600001","41.400001","0.200000","0.800000","0.000000","0.000000","0.000000","0.000000","1"
"23.40","43.200001","97.400001","43.800001","0.200000","0.800000","0.400000","0.000000","0.400000","0.400000","1"
"24.50","46.400001","102.000002","45.200001","0.000000","0.800000","0.600000","0.000000","0.600000","0.400000","1"
"25.60","43.800001","103.600002","47.200001","0.000000","0.800000","0.600000","0.000000","0.600000","0.600000","1"
"26.70","39.000001","103.800002","48.600001","0.000000","1.000000","0.600000","0.000000","0.600000","0.600000","1"
"27.80","38.200001","104.400002","49.400001","1.400000","2.400000","0.600000","0.000000","0.600000","0.600000","1"
"28.90","37.200001","104.600002","50.600001","2.000000","3.000000","0.600000","0.000000","0.600000","0.600000","1"
"30.00","37.800001","105.200002","51.800001","2.200000","3.200000","0.600000","0.000000","0.600000","0.600000","1"
"31.10","37.400001","105.800002","52.400001","1.600000","4.000000","1.800000","0.200000","2.000000","0.600000","1"
"32.20","36.400001","106.200002","54.000001","1.400000","4.400000","2.000000","0.200000","2.200000","1.800000","1"
"33.30","36.000001","107.000002","55.000001","2.600000","5.800000","2.600000","0.200000","2.800000","2.600000","1"
"34.40","37.600001","107.800002","55.800001","2.200000","6.200000","3.400000","0.200000","3.600000","2.600000","1"
"35.50","37.400001","108.800002","56.800001","1.200000","6.600000","3.600000","0.200000","3.800000","3.400000","1"
"36.60","36.800001","109.800002","57.200001","1.600000","7.400000","4.600000","0.200000","4.800000","4.600000","1"
