"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","18.49","0.223","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0"
"1.10","30.00","0.300","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0"
"2.20","30.00","0.300","0.00","0.00","60000.000894","0.000000000","6620.000099","0.000000","0","0"
"3.30","29.80","0.300","0.00","-0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0"
"4.40","26.68","0.300","0.00","92.12","60000.000894","0.000000000","6900.000103","0.000000","0","0"
"5.50","25.34","0.300","0.00","92.55","60000.000894","0.000000000","6900.000103","0.000000","0","0"
"6.60","24.73","0.300","0.00","108.36","60000.000894","0.000000000","7040.000105","0.000000","0","0"
"7.70","25.84","0.300","0.00","67.18","60000.000894","0.000000000","7040.000105","0.000000","0","0"
"8.70","26.80","0.299","0.00","78.70","60000.000894","0.000000000","7040.000105","0.000000","0","0"
"9.70","23.22","0.300","0.00","177.36","60000.000894","0.000000000","7200.000107","0.000000","0","0"
"10.70","27.89","0.300","0.00","33.19","60000.000894","0.000000000","7640.000114","0.000000","0","0"
"11.70","26.80","0.300","0.17","59.82","60000.000894","0.000000000","7960.000119","0.000000","0","0"
"12.70","24.71","0.299","1.21","117.10","60000.000894","0.000000000","8393.000125","0.000000","0","0"
"13.70","25.16","0.290","10.48","85.20","60000.000894","0.000000000","8700.000130","0.000000","0","0"
"14.70","25.57","0.299","1.34","73.23","60000.000894","0.000000000","9000.000134","0.000000","0","0"
"15.70","26.39","0.298","2.75","79.84","60000.000894","0.000000000","9440.000141","0.000000","0","0"
"16.80","25.93","0.288","15.15","73.00","60000.000894","0.000000000","9760.000145","0.000000","0","0"
"17.90","23.52","0.292","8.16","131.61","60000.000894","0.000000000","10200.000152","0.000000","0","0"
"19.00","25.88","0.297","1.97","53.03","60000.000894","0.000000000","10640.000159","0.000000","0","0"
"20.10","24.37","0.291","9.25","131.02","60000.000894","0.000000000","10960.000163","0.000000","0","0"
"21.20","25.09","0.273","32.03","84.88","60000.000894","0.000000000","11400.000170","0.000000","0","0"
"22.30","27.53","0.285","19.87","37.40","60000.000894","0.000000000","11840.000176","0.000000","0","0"
"23.40","26.26","0.286","15.38","79.64","60000.000894","0.000000000","12160.400181","0.400000","0","0"
"24.50","24.37","0.282","38.97","123.70","60000.000894","0.000000000","12600.600188","0.600000","0","0"
"25.60","25.88","0.277","12.88","75.18","60000.000894","0.000000000","12760.600190","0.600000","0","0"
"26.70","25.49","0.278","22.31","114.58","60000.000894","0.000000000","12760.600190","0.600000","0","0"
"27.80","26.48","0.277","19.12","62.52","60000.000894","0.000000000","12760.600190","0.600000","0","0"
"28.90","24.79","0.269","40.46","86.21","60000.000894","0.000000000","12760.600190","0.600000","0","0"
"30.00","25.08","0.275","27.54","104.58","60000.000894","0.000000000","12760.600190","0.600000","0","0"
"31.10","26.33","0.254","78.46","73.29","60000.000894","0.000000000","12761.800190","1.800000","0","0"
"32.20","25.76","0.274","27.25","73.26","60000.000894","0.000000000","12762.000190","2.000000","0","0"
"33.30","26.09","0.281","17.86","72.25","60000.000894","0.000000000","12762.600190","2.600000","0","0"
"34.40","26.47","0.279","17.79","58.81","60000.000894","0.000000000","12763.400190","3.400000","0","0"
"35.50","26.13","0.277","21.84","61.79","60000.000894","0.000000000","12763.200190","3.600000","0","0"
"36.60","25.96","0.273","24.05","73.89","60000.000894","0.000000000","12764.200190","4.600000","0","0"
