"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.438","1.000","0.000","0.000","0.0000"
"1.100","2.702","1.000","0.000","0.000","0.0000"
"2.200","5.124","1.000","0.000","0.000","0.0000"
"3.300","7.559","1.000","0.000","0.000","0.0000"
"4.400","9.983","1.000","0.000","0.000","0.0000"
"5.500","12.390","1.000","0.000","0.000","0.0000"
"6.600","14.815","1.000","0.000","0.000","0.0000"
"7.700","17.232","1.000","0.000","0.000","0.0000"
"8.700","19.432","1.000","0.000","0.000","0.0000"
"9.700","21.622","1.000","0.000","0.000","0.0000"
"10.700","23.820","1.000","0.000","0.000","0.0000"
"11.700","26.006","1.000","0.000","0.000","0.0000"
"12.700","28.203","1.000","0.000","0.000","0.0000"
"13.700","30.408","1.000","0.000","0.000","0.0000"
"14.700","32.597","1.000","0.000","0.000","0.0000"
"15.700","34.793","1.000","0.000","0.000","0.0000"
"16.800","37.215","1.000","0.000","0.000","0.0000"
"17.900","39.618","1.000","0.000","0.000","0.0000"
"19.000","42.014","1.000","0.000","0.000","0.0000"
"20.100","44.436","1.000","0.000","0.000","0.0000"
"21.200","46.837","1.000","0.000","0.000","0.0000"
"22.300","49.270","1.000","0.000","0.000","0.0000"
"23.400","51.708","1.000","0.000","0.000","0.0000"
"24.500","54.136","1.000","0.000","0.000","0.0000"
