"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","fixedBench"
"Paddle","0.10","0.00","-0.000","-0.000","-0.000","0.0000","0.0000","0.0000","0"
"Paddle","1.10","0.00","-0.000","-0.000","-0.000","0.0000","0.0000","0.0000","0"
"Paddle","2.20","0.00","-0.000","-0.000","-0.000","0.0000","0.0060","0.0060","0"
"Paddle","3.30","0.00","-0.000","-0.000","-0.000","0.0000","0.0390","0.0390","0"
"Paddle","4.40","0.00","-0.000","-0.000","-0.000","0.0000","0.0720","0.0720","0"
"Paddle","5.50","0.00","-0.000","-0.000","-0.000","0.0000","0.1050","0.1050","0"
"Paddle","6.60","0.00","-0.000","-0.000","-0.000","0.0000","0.1380","0.1380","0"
"Paddle","7.70","0.00","-0.000","-0.000","-0.000","0.0000","0.1710","0.1710","0"
"Paddle","8.70","0.00","-0.000","-0.000","-0.000","0.0000","0.2010","0.2010","0"
"Paddle","9.70","0.00","-0.000","-0.000","-0.000","0.0000","0.2310","0.2310","0"
"Paddle","10.70","0.00","-0.000","-0.000","-0.000","0.0000","0.2610","0.2610","0"
"Paddle","11.70","0.00","-0.000","-0.000","-0.000","0.0000","0.2910","0.2910","0"
"Paddle","12.70","0.00","-0.000","-0.000","-0.000","0.0000","0.3210","0.3210","0"
"Paddle","13.70","0.00","-0.000","-0.000","-0.000","0.0000","0.3510","0.3510","0"
"Paddle","14.70","0.00","-0.000","-0.000","-0.000","0.0000","0.3810","0.3810","0"
"Paddle","15.70","0.00","-0.000","-0.000","-0.000","0.0000","0.4110","0.4110","0"
"Paddle","16.80","0.00","-0.000","-0.000","-0.000","0.0000","0.4440","0.4440","0"
"Paddle","17.90","0.00","-0.000","-0.000","-0.000","0.0000","0.4770","0.4770","0"
"Paddle","19.00","0.00","-0.000","-0.000","-0.000","0.0000","0.4800","0.4800","0"
"Paddle","20.10","0.00","-0.000","-0.000","-0.000","0.0000","0.4800","0.4800","0"
"Paddle","21.20","0.00","-0.000","-0.000","-0.000","0.0000","0.4800","0.4800","0"
"Paddle","22.30","0.00","-0.000","-0.000","-0.000","0.0000","0.4800","0.4800","0"
"Paddle","23.40","0.00","-0.000","-0.000","-0.000","0.0000","0.4800","0.4800","0"
"Paddle","24.50","0.00","-0.000","-0.000","-0.000","0.0000","0.4800","0.4800","0"
