"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","rig"
"0.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"1.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"2.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"3.30","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"4.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"5.50","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"6.60","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"7.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"8.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"9.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"10.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"11.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"12.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"13.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"14.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"15.70","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"16.80","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"17.90","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"19.00","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"20.10","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"21.20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"22.30","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"23.40","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"24.50","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1"
