"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","11.46","0.223","0.00","60000.000894","0.000000000","10200.000152","0.000000","0","0"
"1.10","17.19","0.300","0.00","60000.000894","0.000000000","10200.000152","0.000000","0","0"
"2.20","17.19","0.300","0.00","60000.000894","0.000000000","10200.000152","0.000000","0","0"
"3.30","17.19","0.300","0.00","60000.000894","0.000000000","10800.000161","0.000000","0","0"
"4.40","17.19","0.300","0.00","60000.000894","0.000000000","10800.000161","0.000000","0","0"
"5.50","17.19","0.300","0.00","60000.000894","0.000000000","11400.000170","0.000000","0","0"
"6.60","17.19","0.300","0.00","60000.000894","0.000000000","12000.000179","0.000000","0","0"
"7.70","17.19","0.300","0.00","60000.000894","0.000000000","12000.000179","0.000000","0","0"
"8.70","17.19","0.300","0.00","60000.000894","0.000000000","12600.000188","0.000000","0","0"
"9.70","17.19","0.300","0.00","60000.000894","0.000000000","13200.000197","0.000000","0","0"
"10.70","17.19","0.300","0.00","60000.000894","0.000000000","13200.000197","0.000000","0","0"
"11.70","17.19","0.300","0.00","60000.000894","0.000000000","13800.000206","0.000000","0","0"
"12.70","17.19","0.300","0.00","60000.000894","0.000000000","13800.000206","0.000000","0","0"
"13.70","17.19","0.300","0.00","60000.000894","0.000000000","14400.000215","0.000000","0","0"
"14.70","17.19","0.300","0.00","60000.000894","0.000000000","15000.000224","0.000000","0","0"
"15.70","17.19","0.300","0.00","60000.000894","0.000000000","15000.000224","0.000000","0","0"
"16.80","17.19","0.300","0.00","60000.000894","0.000000000","15600.000232","0.000000","0","0"
"17.90","17.19","0.300","0.00","60000.000894","0.000000000","16200.000241","0.000000","0","0"
"19.00","17.19","0.300","0.00","60000.000894","0.000000000","16200.000241","0.000000","0","0"
"20.10","17.19","0.300","0.00","60000.000894","0.000000000","16200.000241","0.000000","0","0"
"21.20","17.19","0.300","0.00","60000.000894","0.000000000","16200.000241","0.000000","0","0"
"22.30","17.19","0.300","0.00","60000.000894","0.000000000","16200.000241","0.000000","0","0"
"23.40","17.19","0.300","0.00","60000.000894","0.000000000","16200.000241","0.000000","0","0"
"24.50","17.19","0.300","0.00","60000.000894","0.000000000","16200.000241","0.000000","0","0"
