"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.487","1.000","-584.991","0.000","0.0000"
"1.100","2.657","1.000","-574.478","0.000","0.0000"
"2.200","5.013","1.000","-670.206","0.000","0.0000"
"3.300","7.369","1.000","-367.684","0.000","0.0000"
"4.400","9.765","1.000","-318.724","0.000","0.0000"
"5.500","12.197","1.000","-202.966","0.000","0.0000"
"6.600","14.625","1.000","-323.594","0.000","0.0000"
"7.700","17.032","1.000","-333.031","0.000","0.0000"
"8.700","19.218","1.000","-154.524","0.000","0.0000"
"9.700","21.429","1.000","-146.252","0.000","0.0000"
"10.700","23.636","1.000","-180.860","0.000","0.0000"
"11.700","25.860","1.000","-163.182","0.000","0.0000"
"12.700","28.092","1.000","-247.575","0.000","0.0000"
"13.700","30.301","1.000","-354.160","0.000","0.0000"
"14.700","32.504","1.000","-527.513","0.000","0.0000"
"15.700","34.735","1.000","-207.999","0.000","0.0000"
"16.800","37.175","1.000","-213.959","0.000","0.0000"
"17.900","39.608","1.000","-264.725","0.000","0.0000"
"19.000","42.040","1.000","-112.747","0.000","0.0000"
"20.100","44.491","1.000","-411.425","0.000","0.0000"
"21.200","46.924","1.000","-423.637","0.000","0.0000"
"22.300","49.373","1.000","-393.967","0.000","0.0000"
"23.400","51.808","1.000","-294.419","0.000","0.0000"
"24.500","54.235","1.000","-447.635","0.000","0.0000"
