"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","fixedBench"
"Paddle","0.10","-8.00","-584.991","-0.000","95.034","0.0000","0.0000","0.0000","0"
"Paddle","1.10","-8.00","-574.478","-0.000","-56.599","0.0000","0.0000","0.0000","0"
"Paddle","2.20","-8.00","-670.206","-0.000","-98.932","0.0000","0.0060","0.0060","0"
"Paddle","3.30","-8.00","-367.684","0.000","-6.880","0.0000","0.0390","0.0390","0"
"Paddle","4.40","-8.00","-318.724","0.000","-266.665","0.0000","0.0720","0.0720","0"
"Paddle","5.50","-8.00","-202.966","0.009","-188.804","0.0000","0.1050","0.1050","0"
"Paddle","6.60","-8.00","-323.594","-0.000","73.723","0.0000","0.1380","0.1380","0"
"Paddle","7.70","-8.00","-333.031","-0.060","-271.676","0.0000","0.1710","0.1710","0"
"Paddle","8.70","-8.00","-154.524","0.181","-261.036","0.0000","0.2010","0.2010","0"
"Paddle","9.70","-8.00","-146.252","0.296","-205.506","0.0000","0.2310","0.2310","0"
"Paddle","10.70","-8.00","-180.860","1.053","-197.645","0.0000","0.2610","0.2610","0"
"Paddle","11.70","-8.00","-163.182","0.519","-238.723","0.0000","0.2910","0.2910","0"
"Paddle","12.70","-8.00","-247.575","0.252","-157.368","0.0000","0.3210","0.3210","0"
"Paddle","13.70","-8.00","-354.160","0.274","-149.450","0.0000","0.3510","0.3510","0"
"Paddle","14.70","-8.00","-527.513","-2.116","-182.784","0.0000","0.3810","0.3810","0"
"Paddle","15.70","-8.00","-207.999","-0.027","-266.255","0.0000","0.4110","0.4110","0"
"Paddle","16.80","-8.00","-213.959","2.229","-277.916","0.0000","0.4440","0.4440","0"
"Paddle","17.90","-8.00","-264.725","-0.849","-121.965","0.0000","0.4770","0.4770","0"
"Paddle","19.00","-8.00","-112.747","2.703","-233.903","0.0000","0.4800","0.4800","0"
"Paddle","20.10","-8.00","-411.425","-4.743","-226.458","0.0000","0.4800","0.4800","0"
"Paddle","21.20","-8.00","-423.637","0.950","-12.264","0.0000","0.4800","0.4800","0"
"Paddle","22.30","-8.00","-393.967","1.478","3.524","0.0000","0.4800","0.4800","0"
"Paddle","23.40","-8.00","-294.419","-2.240","6.509","0.0000","0.4800","0.4800","0"
"Paddle","24.50","-8.00","-447.635","1.468","100.723","0.0000","0.4800","0.4800","0"
